timestamp,cpu.%usr,cpu.%nice,cpu.%sys,cpu.%iowait,cpu.%steal,cpu.%irq,cpu.%soft,cpu.%guest,cpu.%gnice,cpu.%idle,task.proc/s,task.cswch/s,intr.intr/s,swap.pswpin/s,swap.pswpout/s,paging.pgpgin/s,paging.pgpgout/s,paging.fault/s,paging.majflt/s,paging.pgfree/s,paging.pgscank/s,paging.pgscand/s,paging.pgsteal/s,paging.%vmeff,io.tps,io.rtps,io.wtps,io.bread/s,io.bwrtn/s,memory.kbmemfree,memory.kbavail,memory.kbmemused,memory.%memused,memory.kbbuffers,memory.kbcached,memory.kbcommit,memory.%commit,memory.kbactive,memory.kbinact,memory.kbdirty,memory.kbanonpg,memory.kbslab,memory.kbkstack,memory.kbpgtbl,memory.kbvmused,swap.kbswpfree,swap.kbswpused,swap.%swpused,swap.kbswpcad,swap.%swpcad,load.runq-sz,load.plist-sz,load.ldavg-1,load.ldavg-5,load.ldavg-15,load.blocked,disk.tps,disk.rd_sec/s,disk.wr_sec/s,disk.avgrq-sz,disk.avgqu-sz,disk.await,disk.svctm,disk.%util,network.rxpck/s,network.txpck/s,network.rxkB/s,network.txkB/s,network.rxcmp/s,network.txcmp/s,network.rxmcst/s,network.%ifutil
2018-01-06 16:33:31,0.30,0.00,0.10,27.25,0.05,0.00,0.00,0.00,0.00,72.29,0.20,283.20,365.60,0.00,0.00,0.80,23960.00,651.60,0.00,1286.60,0.00,0.00,0.00,0.00,187.60,0.20,187.40,1.60,47920.00,13314612,0,3118528,18.98,28520,2374112,1217452,7.41,772248,2130052,1365144,501796,97792,2152,3308,31404,0,0,0.00,0,0.00,0,255,3.53,2.35,1.60,1,187.60,1.60,47920.00,255.45,132.92,747.47,5.33,100.00,3.00,4.20,0.31,0.58,0.00,0.00,0.00,0.00
2018-01-06 16:33:36,1.00,0.00,0.30,26.61,0.05,0.00,0.00,0.00,0.00,72.04,15.00,522.40,585.80,0.00,0.00,2.40,15578.40,7765.60,0.00,2547.60,0.00,0.00,0.00,0.00,139.20,0.60,138.60,4.80,35481.60,13310048,0,3123092,19.00,28536,2374148,1231156,7.49,778896,2130108,1287440,506384,97632,2200,3816,31404,0,0,0.00,0,0.00,0,261,3.41,2.34,1.60,2,139.20,4.80,35481.60,254.93,129.72,868.04,7.18,100.00,21.60,53.60,2.54,376.13,0.00,0.00,0.00,0.03
2018-01-06 16:33:41,0.10,0.00,0.10,29.64,0.05,0.00,0.00,0.00,0.00,70.11,0.20,289.00,373.40,0.00,0.00,1.60,23773.60,24.40,0.00,101.60,0.00,0.00,0.00,0.00,179.20,0.40,178.80,3.20,45699.20,13309152,0,3123988,19.01,28556,2374508,1231156,7.49,779328,2130400,1169020,506660,97540,2200,3816,31404,0,0,0.00,0,0.00,0,261,3.30,2.34,1.61,2,179.20,3.20,45699.20,255.04,133.13,724.49,5.58,100.00,16.20,17.40,59.54,63.77,0.00,0.00,0.00,0.01
2018-01-06 16:33:46,0.00,0.00,0.05,27.15,0.00,0.00,0.00,0.00,0.00,72.80,0.00,266.80,351.00,0.00,0.00,0.80,24602.40,9.60,0.00,33.60,0.00,0.00,0.00,0.00,186.80,0.20,186.60,1.60,47700.80,13309112,0,3124028,19.01,28576,2374524,1231156,7.49,779344,2130416,1045960,506660,97580,2200,3816,31404,0,0,0.00,0,0.00,0,261,3.30,2.34,1.61,1,186.80,1.60,47700.80,255.37,134.91,708.42,5.35,100.00,3.60,4.40,0.28,0.74,0.00,0.00,0.00,0.00
2018-01-06 16:33:51,0.05,0.00,0.05,32.88,0.05,0.00,0.00,0.00,0.00,66.97,0.00,269.60,374.00,0.00,0.00,0.80,26792.80,7.60,0.00,28.20,0.00,0.00,0.00,0.00,209.00,0.20,208.80,1.60,53380.80,13308996,0,3124144,19.01,28588,2374576,1231156,7.49,779388,2130432,912140,506660,97568,2200,3816,31404,0,0,0.00,0,0.00,0,261,3.11,2.31,1.60,1,209.00,1.60,53380.80,255.42,132.72,642.82,4.79,100.08,3.20,4.60,0.26,0.84,0.00,0.00,0.00,0.00
2018-01-06 16:33:56,0.05,0.00,0.15,27.57,0.05,0.00,0.00,0.00,0.00,72.18,0.00,273.80,367.60,0.00,0.00,1.60,25557.60,9.60,0.00,33.20,0.00,0.00,0.00,0.00,199.80,0.40,199.40,3.20,50961.60,13308928,0,3124212,19.01,28612,2374616,1231156,7.49,779420,2130432,784296,506660,97512,2200,3816,31404,0,0,0.00,0,0.00,0,261,2.94,2.29,1.60,1,199.80,3.20,50961.60,255.08,135.35,696.84,5.01,100.00,3.20,4.60,0.26,0.83,0.00,0.00,0.00,0.00
2018-01-06 16:34:01,0.40,0.00,0.15,28.28,0.05,0.00,0.00,0.00,0.00,71.11,7.20,408.60,537.40,0.00,0.00,2.40,27005.60,1177.20,0.00,471.40,0.00,0.00,0.00,0.00,214.40,0.40,214.00,3.20,54716.80,13296812,0,3136328,19.09,28656,2374656,1231156,7.49,790568,2130476,649692,517744,98036,2208,3820,31404,0,0,0.00,0,0.00,0,267,2.79,2.27,1.60,2,214.40,3.20,54716.80,255.22,131.46,624.28,4.66,100.00,12.40,10.60,3.14,1.44,0.00,0.00,0.00,0.00
2018-01-06 16:34:06,61.99,0.00,2.56,11.38,0.05,0.00,0.00,0.00,0.00,24.02,27.20,1869.80,1548.40,0.00,0.00,2.40,20448.00,18568.20,0.00,8877.60,0.00,0.00,0.00,0.00,168.60,0.80,167.80,6.40,41060.80,12785604,0,3647536,22.20,28668,2375480,2313216,14.08,1296452,2131020,548260,1025732,99252,2904,6252,31404,0,0,0.00,0,0.00,7,349,2.73,2.27,1.60,1,168.60,6.40,41060.80,243.58,136.91,612.39,5.93,100.00,15.60,18.60,23.08,2.35,0.00,0.00,0.00,0.00
2018-01-06 16:34:11,81.85,0.00,2.51,11.38,0.00,0.00,0.10,0.00,0.00,4.16,11.40,2212.20,1677.40,0.00,0.00,2.40,29379.20,6325.20,0.00,3442.00,0.00,0.00,0.00,0.00,237.60,0.60,237.00,4.80,60601.60,12274680,0,4158460,25.31,28684,2375980,2362608,14.38,1807492,2131504,402388,1534384,99988,3224,7528,31404,0,0,0.00,0,0.00,12,389,3.15,2.36,1.63,0,237.60,4.80,60601.60,255.08,132.45,677.13,4.21,100.00,25.20,33.40,38.82,3.95,0.00,0.00,0.00,0.00
2018-01-06 16:34:16,95.15,0.00,4.35,0.00,0.00,0.00,0.45,0.00,0.00,0.05,0.00,5003.20,2568.80,0.00,0.00,0.80,5755.20,132.80,0.00,415.40,0.00,0.00,0.00,0.00,34.00,0.20,33.80,1.60,8592.00,11953324,0,4479816,27.26,28696,2664480,2362608,14.38,2120560,2131564,662304,1559036,108000,3168,7576,31404,0,0,0.00,0,0.00,6,382,3.86,2.52,1.69,1,34.00,1.60,8592.00,252.75,15.82,577.36,4.96,16.88,6.20,10.40,0.51,1.94,0.00,0.00,0.00,0.00
