timestamp,cpu.%usr,cpu.%nice,cpu.%sys,cpu.%iowait,cpu.%steal,cpu.%irq,cpu.%soft,cpu.%guest,cpu.%gnice,cpu.%idle,task.proc/s,task.cswch/s,intr.intr/s,swap.pswpin/s,swap.pswpout/s,paging.pgpgin/s,paging.pgpgout/s,paging.fault/s,paging.majflt/s,paging.pgfree/s,paging.pgscank/s,paging.pgscand/s,paging.pgsteal/s,paging.%vmeff,io.tps,io.rtps,io.wtps,io.bread/s,io.bwrtn/s,memory.kbmemfree,memory.kbavail,memory.kbmemused,memory.%memused,memory.kbbuffers,memory.kbcached,memory.kbcommit,memory.%commit,memory.kbactive,memory.kbinact,memory.kbdirty,memory.kbanonpg,memory.kbslab,memory.kbkstack,memory.kbpgtbl,memory.kbvmused,swap.kbswpfree,swap.kbswpused,swap.%swpused,swap.kbswpcad,swap.%swpcad,load.runq-sz,load.plist-sz,load.ldavg-1,load.ldavg-5,load.ldavg-15,load.blocked,disk.tps,disk.rd_sec/s,disk.wr_sec/s,disk.avgrq-sz,disk.avgqu-sz,disk.await,disk.svctm,disk.%util,network.rxpck/s,network.txpck/s,network.rxkB/s,network.txkB/s,network.rxcmp/s,network.txcmp/s,network.rxmcst/s,network.%ifutil
2018-01-06 03:19:09,0.13,0.00,0.20,0.08,0.00,0.00,0.00,0.00,0.00,99.60,0.40,359.00,236.00,0.00,0.00,0.00,63.20,589.80,0.00,40393.60,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,126.40,4949036,0,10451916,67.87,21136,9420452,1174084,7.62,1344092,8673268,400,575472,315776,2480,3716,31276,0,0,0.00,0,0.00,0,297,0.23,3.81,5.57,0,1.00,0.00,126.40,126.40,0.01,10.40,5.60,0.56,5.20,6.00,0.53,0.88,0.00,0.00,0.00,0.00
2018-01-06 03:19:14,0.40,0.00,0.18,0.00,0.03,0.00,0.00,0.00,0.00,99.40,14.40,518.00,412.00,0.00,0.00,0.00,0.00,7757.40,0.00,2660.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4948660,0,10452292,67.87,21136,9420408,1185320,7.70,1345248,8673024,432,576644,315796,2608,4332,31276,0,0,0.00,0,0.00,1,299,0.21,3.75,5.54,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.40,8.60,1.60,1.60,0.00,0.00,0.00,0.00
2018-01-06 03:19:19,0.00,0.00,0.00,0.00,0.03,0.00,0.00,0.00,0.00,99.97,0.00,288.00,170.20,0.00,0.00,0.00,17.60,7.60,0.00,26.40,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,35.20,4949108,0,10451844,67.86,21144,9420432,1185320,7.70,1345136,8673024,464,576648,315716,2504,4140,31276,0,0,0.00,0,0.00,0,299,0.19,3.69,5.51,0,0.40,0.00,35.20,88.00,0.00,0.00,0.00,0.00,2.80,4.20,0.24,0.84,0.00,0.00,0.00,0.00
2018-01-06 03:19:24,0.00,0.00,0.03,0.03,0.00,0.00,0.00,0.00,0.00,99.95,0.00,295.40,178.80,0.00,0.00,0.00,69.60,9.40,0.00,28.20,0.00,0.00,0.00,0.00,8.60,0.00,8.60,0.00,139.20,4949140,0,10451812,67.86,21152,9420456,1185320,7.70,1345160,8673052,148,576648,315684,2504,4140,31276,0,0,0.00,0,0.00,1,299,0.18,3.63,5.48,0,8.60,0.00,139.20,16.19,0.01,0.84,0.09,0.08,2.40,3.80,0.21,0.82,0.00,0.00,0.00,0.00
2018-01-06 03:19:29,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,99.97,0.00,291.40,173.80,0.00,0.00,0.00,8.80,8.80,0.00,25.40,0.00,0.00,0.00,0.00,1.20,0.00,1.20,0.00,17.60,4949140,0,10451812,67.86,21160,9420480,1185320,7.70,1345172,8673064,164,576648,315684,2504,4140,31276,0,0,0.00,0,0.00,1,299,0.16,3.57,5.45,0,1.20,0.00,17.60,14.67,0.00,0.00,0.00,0.00,2.60,3.80,0.22,0.74,0.00,0.00,0.00,0.00
2018-01-06 03:19:34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,294.60,173.00,0.00,0.00,0.00,4.00,9.40,0.00,36.00,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,8.00,4949424,0,10451528,67.86,21168,9420504,1185320,7.70,1345172,8673064,196,576648,315524,2504,4140,31276,0,0,0.00,0,0.00,2,299,0.15,3.51,5.42,0,0.40,0.00,8.00,20.00,0.00,0.00,0.00,0.00,2.80,4.20,0.24,0.84,0.00,0.00,0.00,0.00
2018-01-06 03:19:39,0.00,0.00,0.03,0.00,0.00,0.00,0.00,0.00,0.00,99.97,0.00,290.00,172.00,0.00,0.00,0.00,38.40,7.60,0.00,28.60,0.00,0.00,0.00,0.00,1.20,0.00,1.20,0.00,76.80,4949424,0,10451528,67.86,21176,9420528,1185320,7.70,1345196,8673088,40,576648,315524,2504,4140,31276,0,0,0.00,0,0.00,1,299,0.14,3.45,5.39,0,1.20,0.00,76.80,64.00,0.00,0.00,0.00,0.00,3.40,4.80,0.27,0.88,0.00,0.00,0.00,0.00
2018-01-06 03:19:44,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,99.97,0.00,291.40,170.20,0.00,0.00,0.00,5.60,9.40,0.00,27.40,0.00,0.00,0.00,0.00,0.80,0.00,0.80,0.00,11.20,4949300,0,10451652,67.86,21184,9420552,1185320,7.70,1345208,8673104,68,576648,315524,2504,4140,31276,0,0,0.00,0,0.00,1,299,0.13,3.39,5.36,0,0.80,0.00,11.20,14.00,0.00,0.00,0.00,0.00,2.60,3.80,0.22,0.74,0.00,0.00,0.00,0.00
2018-01-06 03:19:49,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,292.80,178.00,0.00,0.00,0.00,2.40,7.60,0.00,42.00,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,4.80,4939060,0,10461892,67.93,21192,9420576,1185320,7.70,1355160,8673116,92,586580,315524,2504,4140,31276,0,0,0.00,0,0.00,1,299,0.12,3.34,5.33,0,0.40,0.00,4.80,12.00,0.00,0.00,0.00,0.00,2.80,4.20,0.24,0.84,0.00,0.00,0.00,0.00
2018-01-06 03:19:54,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,99.97,0.00,292.40,172.40,0.00,0.00,0.00,2.40,9.40,0.00,25.60,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,4.80,4938944,0,10462008,67.93,21200,9420600,1185320,7.70,1355156,8673172,116,586580,315516,2504,4140,31276,0,0,0.00,0,0.00,1,299,0.11,3.28,5.31,0,0.40,0.00,4.80,12.00,0.00,0.00,0.00,0.00,2.20,3.60,0.20,0.80,0.00,0.00,0.00,0.00
