timestamp,cpu.%usr,cpu.%nice,cpu.%sys,cpu.%iowait,cpu.%steal,cpu.%irq,cpu.%soft,cpu.%guest,cpu.%gnice,cpu.%idle,task.proc/s,task.cswch/s,intr.intr/s,swap.pswpin/s,swap.pswpout/s,paging.pgpgin/s,paging.pgpgout/s,paging.fault/s,paging.majflt/s,paging.pgfree/s,paging.pgscank/s,paging.pgscand/s,paging.pgsteal/s,paging.%vmeff,io.tps,io.rtps,io.wtps,io.bread/s,io.bwrtn/s,memory.kbmemfree,memory.kbavail,memory.kbmemused,memory.%memused,memory.kbbuffers,memory.kbcached,memory.kbcommit,memory.%commit,memory.kbactive,memory.kbinact,memory.kbdirty,memory.kbanonpg,memory.kbslab,memory.kbkstack,memory.kbpgtbl,memory.kbvmused,swap.kbswpfree,swap.kbswpused,swap.%swpused,swap.kbswpcad,swap.%swpcad,load.runq-sz,load.plist-sz,load.ldavg-1,load.ldavg-5,load.ldavg-15,load.blocked,disk.tps,disk.rd_sec/s,disk.wr_sec/s,disk.avgrq-sz,disk.avgqu-sz,disk.await,disk.svctm,disk.%util,network.rxpck/s,network.txpck/s,network.rxkB/s,network.txkB/s,network.rxcmp/s,network.txcmp/s,network.rxmcst/s,network.%ifutil
2018-01-05 02:51:20,0.10,0.00,0.05,0.00,0.00,0.00,0.00,0.00,0.00,99.85,0.20,327.40,219.60,0.00,0.00,0.00,30.40,604.40,0.00,6461.00,0.00,0.00,0.00,0.00,1.60,0.00,1.60,0.00,60.80,31317968,0,1630236,4.95,40736,742684,1567204,4.76,780424,564056,368768,561076,71068,2608,3596,57980,0,0,0.00,0,0.00,0,313,8.05,7.88,7.48,0,1.60,0.00,60.80,38.00,0.00,0.00,0.00,0.00,3.00,4.40,0.33,0.67,0.00,0.00,0.00,0.00
2018-01-05 02:51:25,0.43,0.00,0.30,0.40,0.03,0.00,0.00,0.00,0.00,98.85,26.40,617.80,663.60,0.00,0.00,0.00,18716.80,11067.60,0.00,2911.00,0.00,0.00,0.00,0.00,148.40,0.00,148.40,0.00,37433.60,31308928,0,1639276,4.98,40748,742724,1567580,4.76,788988,564100,275292,569652,71168,2664,4600,57980,0,0,0.00,0,0.00,0,319,7.41,7.75,7.44,0,148.40,0.00,37433.60,252.25,6.04,40.67,0.31,4.64,14.80,16.80,3.15,2.99,0.00,0.00,0.00,0.00
2018-01-05 02:51:30,0.03,0.00,0.00,0.38,0.03,0.00,0.00,0.00,0.00,99.57,0.40,338.20,369.40,0.00,0.00,0.00,18112.80,18.40,0.00,59.20,0.00,0.00,0.00,0.00,137.40,0.00,137.40,0.00,34993.60,31309068,0,1639136,4.97,40756,742768,1567580,4.76,789004,564124,185208,569656,71136,2664,4600,57980,0,0,0.00,0,0.00,0,319,6.81,7.62,7.40,0,137.60,0.00,35044.80,254.69,5.73,38.60,0.31,4.32,7.80,9.40,3.61,4.44,0.00,0.00,0.00,0.00
2018-01-05 02:51:35,16.89,0.00,1.08,0.03,0.03,0.00,0.03,0.00,0.00,81.96,55.80,1762.60,1644.40,0.00,0.00,0.00,5819.20,19907.00,0.00,3310.40,0.00,0.00,0.00,0.00,23.00,0.00,23.00,0.00,5420.80,30896208,0,2051996,6.23,40808,743968,3894168,11.82,1184880,565336,157780,976204,73876,4160,8180,57980,0,0,0.00,0,0.00,9,506,6.27,7.50,7.37,1,22.80,0.00,5369.60,235.51,0.94,27.51,0.35,0.80,36.40,36.20,78.19,57.84,0.00,0.00,0.00,0.01
2018-01-05 02:51:40,95.10,0.00,2.93,0.00,0.00,0.00,0.00,0.00,0.00,1.98,16.20,4680.20,3128.60,0.00,0.00,0.80,17658.40,31726.40,0.00,21127.60,0.00,0.00,0.00,0.00,169.20,0.20,169.00,1.60,42766.40,30116392,0,2831812,8.59,40820,744916,4009664,12.17,1971136,566096,70800,1751360,74892,4528,10444,57980,0,0,0.00,0,0.00,15,556,6.25,7.47,7.36,0,169.20,1.60,42766.40,252.77,32.42,195.92,1.39,23.60,24.60,29.20,3.70,4.21,0.00,0.00,0.00,0.00
2018-01-05 02:51:45,97.77,0.00,1.90,0.00,0.00,0.00,0.08,0.00,0.00,0.25,12.60,9690.20,3187.00,0.00,0.00,0.00,13682.40,2364.00,0.00,1532.20,0.00,0.00,0.00,0.00,119.60,0.00,119.60,0.00,27364.80,29344516,0,3603688,10.94,40832,744976,4041976,12.27,2736756,566084,2616,2517180,76456,4824,12072,57980,0,0,0.00,0,0.00,13,589,6.47,7.50,7.37,0,119.60,0.00,27364.80,228.80,4.98,41.67,0.31,3.76,22.60,31.80,7.54,4.81,0.00,0.00,0.00,0.00
2018-01-05 02:51:50,85.27,0.00,1.78,0.00,0.05,0.00,0.00,0.00,0.00,12.90,26.20,2741.20,3062.40,0.00,0.00,0.00,120.00,7255.60,0.00,101583.60,0.00,0.00,0.00,0.00,3.40,0.00,3.40,0.00,240.00,31012732,0,1935472,5.87,40840,905084,1886616,5.73,1079948,564792,162412,698888,75980,2872,5304,57980,0,0,0.00,0,0.00,6,345,6.83,7.55,7.39,0,3.40,0.00,240.00,70.59,0.04,11.76,11.76,4.00,37.80,43.60,5.69,8.31,0.00,0.00,0.00,0.00
2018-01-05 02:51:55,95.94,0.00,3.01,0.00,0.00,0.00,0.03,0.00,0.00,1.03,46.00,5315.20,3025.80,0.00,0.00,0.00,91.20,42389.20,0.00,18810.00,0.00,0.00,0.00,0.00,1.20,0.00,1.20,0.00,182.40,29944180,0,3004024,9.12,40888,905720,3965896,12.04,2140232,565400,163600,1759156,77296,4392,10432,57980,0,0,0.00,0,0.00,19,536,7.48,7.68,7.43,0,1.20,0.00,182.40,152.00,0.00,0.67,0.67,0.08,30.00,33.60,6.66,4.71,0.00,0.00,0.00,0.00
2018-01-05 02:52:00,96.72,0.00,2.18,0.00,0.00,0.00,0.10,0.00,0.00,1.00,15.20,9488.80,3484.60,0.00,0.00,0.00,1294.40,4543.80,0.00,4026.00,0.00,0.00,0.00,0.00,16.80,0.00,16.80,0.00,2588.80,29137916,0,3810288,11.56,40900,926428,4032728,12.24,2935676,572300,178160,2540684,78556,4784,12088,57980,0,0,0.00,0,0.00,12,581,8.57,7.90,7.50,0,16.80,0.00,2588.80,154.10,0.02,1.00,0.38,0.64,115.80,180.60,14.13,1275.75,0.00,0.00,0.00,0.10
2018-01-05 02:52:05,96.22,0.00,1.73,0.00,0.03,0.00,0.03,0.00,0.00,2.00,13.40,3180.00,2759.80,0.00,0.00,0.00,370.40,6165.80,0.00,28061.40,0.00,0.00,0.00,0.00,5.80,0.00,5.80,0.00,740.80,29377140,0,3571064,10.84,40908,1055120,3716712,11.28,2695984,572796,305392,2174240,81072,4424,10932,57980,0,0,0.00,0,0.00,10,529,8.76,7.95,7.52,0,5.80,0.00,740.80,127.72,0.03,5.79,2.90,1.68,51.20,63.40,5.26,261.53,0.00,0.00,0.00,0.02
