timestamp,cpu.%usr,cpu.%nice,cpu.%sys,cpu.%iowait,cpu.%steal,cpu.%irq,cpu.%soft,cpu.%guest,cpu.%gnice,cpu.%idle,task.proc/s,task.cswch/s,intr.intr/s,swap.pswpin/s,swap.pswpout/s,paging.pgpgin/s,paging.pgpgout/s,paging.fault/s,paging.majflt/s,paging.pgfree/s,paging.pgscank/s,paging.pgscand/s,paging.pgsteal/s,paging.%vmeff,io.tps,io.rtps,io.wtps,io.bread/s,io.bwrtn/s,memory.kbmemfree,memory.kbavail,memory.kbmemused,memory.%memused,memory.kbbuffers,memory.kbcached,memory.kbcommit,memory.%commit,memory.kbactive,memory.kbinact,memory.kbdirty,memory.kbanonpg,memory.kbslab,memory.kbkstack,memory.kbpgtbl,memory.kbvmused,swap.kbswpfree,swap.kbswpused,swap.%swpused,swap.kbswpcad,swap.%swpcad,load.runq-sz,load.plist-sz,load.ldavg-1,load.ldavg-5,load.ldavg-15,load.blocked,disk.tps,disk.rd_sec/s,disk.wr_sec/s,disk.avgrq-sz,disk.avgqu-sz,disk.await,disk.svctm,disk.%util,network.rxpck/s,network.txpck/s,network.rxkB/s,network.txkB/s,network.rxcmp/s,network.txcmp/s,network.rxmcst/s,network.%ifutil
2018-01-06 16:56:01,0.10,0.00,0.45,19.40,0.20,0.00,0.00,0.00,0.00,79.85,0.20,348.20,984.80,0.00,0.00,0.00,102524.80,646.60,0.00,11166.40,0.00,0.00,0.00,0.00,778.20,0.00,778.20,0.00,197214.40,26311568,0,5088352,16.20,30504,4232448,1416228,4.51,888068,3851528,873496,476648,153380,2256,3680,58076,0,0,0.00,0,0.00,1,268,5.02,3.63,2.44,2,778.20,0.00,197214.40,253.42,106.74,133.80,0.96,75.04,5.80,6.40,0.51,1.14,0.00,0.00,0.00,0.00
2018-01-06 16:56:06,0.40,0.00,0.40,25.64,0.20,0.00,0.00,0.00,0.00,73.35,13.40,467.00,1135.80,0.00,0.00,0.00,99172.00,5543.40,0.00,4208.80,0.00,0.00,0.00,0.00,797.20,0.00,797.20,0.00,203884.80,26362416,0,5037504,16.04,30512,4180660,1416228,4.51,888908,3800132,378004,477892,153008,2280,4100,58076,0,0,0.00,0,0.00,1,271,4.70,3.59,2.44,2,797.20,0.00,203884.80,255.75,141.43,161.31,1.25,100.00,7.60,8.60,1.52,1.57,0.00,0.00,0.00,0.00
2018-01-06 16:56:11,0.00,0.00,0.20,16.83,0.10,0.00,0.00,0.00,0.00,82.87,0.00,286.40,758.40,0.00,0.00,0.00,75520.80,7.20,0.00,17.80,0.00,0.00,0.00,0.00,600.80,0.00,600.80,0.00,153336.00,26362480,0,5037440,16.04,30516,4180688,1416228,4.51,888920,3800148,408,477892,152944,2280,4100,58076,0,0,0.00,0,0.00,1,271,4.40,3.54,2.43,0,600.80,0.00,153336.00,255.22,100.08,192.29,1.20,72.08,2.20,3.60,0.16,0.77,0.00,0.00,0.00,0.00
2018-01-06 16:56:16,0.00,0.00,0.10,0.00,0.00,0.00,0.00,0.00,0.00,99.90,0.00,247.00,154.00,0.00,0.00,0.00,13.60,9.40,0.00,524.40,0.00,0.00,0.00,0.00,1.20,0.00,1.20,0.00,27.20,26362112,0,5037808,16.04,30524,4180712,1416228,4.51,887028,3800160,460,478184,152944,2280,4100,58076,0,0,0.00,0,0.00,1,271,4.05,3.49,2.41,0,1.20,0.00,27.20,22.67,0.00,0.00,0.00,0.00,2.20,3.60,0.16,0.77,0.00,0.00,0.00,0.00
2018-01-06 16:56:21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,238.20,142.40,0.00,0.00,0.00,3.20,7.40,0.00,16.40,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,6.40,26362036,0,5037884,16.04,30532,4180736,1416228,4.51,886972,3800176,484,477972,152944,2280,4100,58076,0,0,0.00,0,0.00,1,271,3.72,3.43,2.40,0,0.40,0.00,6.40,16.00,0.00,0.00,0.00,0.00,1.80,3.00,0.14,0.66,0.00,0.00,0.00,0.00
2018-01-06 16:56:26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,255.20,158.80,0.00,0.00,0.00,2.40,14.80,0.00,84.20,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,4.80,26363044,0,5036876,16.04,30540,4180756,1416228,4.51,888192,3800208,508,477128,152944,2264,3832,58076,0,0,0.00,0,0.00,1,269,3.42,3.37,2.39,0,0.40,0.00,4.80,12.00,0.00,0.00,0.00,0.00,2.80,4.00,0.22,0.81,0.00,0.00,0.00,0.00
2018-01-06 16:56:31,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,242.00,147.40,0.00,0.00,0.00,44.00,7.80,0.00,18.00,0.00,0.00,0.00,0.00,1.60,0.00,1.60,0.00,88.00,26363076,0,5036844,16.04,30548,4180780,1416228,4.51,888200,3800224,340,477128,152944,2264,3832,58076,0,0,0.00,0,0.00,1,269,3.15,3.31,2.38,0,1.60,0.00,88.00,55.00,0.00,0.00,0.00,0.00,2.00,3.40,0.16,0.76,0.00,0.00,0.00,0.00
2018-01-06 16:56:36,0.05,0.00,0.05,0.05,0.00,0.00,0.00,0.00,0.00,99.85,0.00,241.40,151.60,0.00,0.00,0.00,70.40,9.20,0.00,23.80,0.00,0.00,0.00,0.00,8.60,0.00,8.60,0.00,140.80,26363188,0,5036732,16.04,30556,4180804,1416228,4.51,888212,3800252,52,477128,152828,2264,3832,58076,0,0,0.00,0,0.00,1,269,2.90,3.26,2.36,0,8.60,0.00,140.80,16.37,0.00,0.00,0.00,0.00,1.80,3.00,0.14,0.66,0.00,0.00,0.00,0.00
2018-01-06 16:56:41,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,268.20,181.20,0.00,0.00,0.00,5.60,9.80,0.00,56.00,0.00,0.00,0.00,0.00,0.80,0.00,0.80,0.00,11.20,26363548,0,5036372,16.04,30564,4180824,1416228,4.51,887860,3800268,72,476768,152828,2248,3832,58076,0,0,0.00,0,0.00,1,260,2.67,3.20,2.35,0,0.80,0.00,11.20,14.00,0.00,0.00,0.00,0.00,2.00,3.40,0.16,0.76,0.00,0.00,0.00,0.00
2018-01-06 16:56:46,0.00,0.00,0.05,0.00,0.00,0.00,0.00,0.00,0.00,99.95,0.00,247.20,152.20,0.00,0.00,0.00,3.20,9.00,0.00,18.20,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,6.40,26363664,0,5036256,16.04,30572,4180848,1416228,4.51,887620,3800288,104,476488,152788,2192,3832,58076,0,0,0.00,0,0.00,1,260,2.45,3.15,2.34,0,0.40,0.00,6.40,16.00,0.00,0.00,0.00,0.00,2.00,3.40,0.16,0.76,0.00,0.00,0.00,0.00
