timestamp,cpu.%usr,cpu.%nice,cpu.%sys,cpu.%iowait,cpu.%steal,cpu.%irq,cpu.%soft,cpu.%guest,cpu.%gnice,cpu.%idle,task.proc/s,task.cswch/s,intr.intr/s,swap.pswpin/s,swap.pswpout/s,paging.pgpgin/s,paging.pgpgout/s,paging.fault/s,paging.majflt/s,paging.pgfree/s,paging.pgscank/s,paging.pgscand/s,paging.pgsteal/s,paging.%vmeff,io.tps,io.rtps,io.wtps,io.bread/s,io.bwrtn/s,memory.kbmemfree,memory.kbavail,memory.kbmemused,memory.%memused,memory.kbbuffers,memory.kbcached,memory.kbcommit,memory.%commit,memory.kbactive,memory.kbinact,memory.kbdirty,memory.kbanonpg,memory.kbslab,memory.kbkstack,memory.kbpgtbl,memory.kbvmused,swap.kbswpfree,swap.kbswpused,swap.%swpused,swap.kbswpcad,swap.%swpcad,load.runq-sz,load.plist-sz,load.ldavg-1,load.ldavg-5,load.ldavg-15,load.blocked,disk.tps,disk.rd_sec/s,disk.wr_sec/s,disk.avgrq-sz,disk.avgqu-sz,disk.await,disk.svctm,disk.%util,network.rxpck/s,network.txpck/s,network.rxkB/s,network.txkB/s,network.rxcmp/s,network.txcmp/s,network.rxmcst/s,network.%ifutil
2018-01-07 17:18:15,0.20,0.00,0.15,0.00,0.00,0.00,0.00,0.00,0.00,99.65,0.40,284.00,187.80,0.00,0.00,0.00,94.40,667.20,0.00,3870.80,0.00,0.00,0.00,0.00,8.00,0.00,8.00,0.00,188.80,15085060,0,1348080,8.20,42020,558416,1278164,7.78,784288,392140,185768,576000,54428,2216,3508,31404,0,0,0.00,0,0.00,0,263,3.09,2.24,1.43,0,8.00,0.00,188.80,23.60,0.00,0.10,0.10,0.08,3.00,4.40,0.33,0.67,0.00,0.00,0.00,0.00
2018-01-07 17:18:20,1.10,0.00,0.25,0.00,0.10,0.00,0.00,0.00,0.00,98.55,14.40,456.80,372.80,0.00,0.00,0.00,22.40,7743.20,0.00,2477.40,0.00,0.00,0.00,0.00,2.00,0.00,2.00,0.00,44.80,15080944,0,1352196,8.23,42020,558452,1297308,7.89,788608,392168,185676,580300,54424,2240,4004,31404,0,0,0.00,0,0.00,1,266,2.84,2.21,1.42,0,2.00,0.00,44.80,22.40,0.00,0.00,0.00,0.00,8.60,10.00,1.67,1.65,0.00,0.00,0.00,0.00
2018-01-07 17:18:25,0.05,0.00,0.10,0.45,0.00,0.00,0.00,0.00,0.00,99.40,0.00,260.80,271.20,0.00,0.00,0.00,13731.20,7.60,0.00,34.40,0.00,0.00,0.00,0.00,109.00,0.00,109.00,0.00,27462.40,15080904,0,1352236,8.23,42028,558476,1297308,7.89,788620,392184,117144,580300,54464,2240,4004,31404,0,0,0.00,0,0.00,1,266,2.62,2.17,1.41,0,109.00,0.00,27462.40,251.95,4.03,36.95,0.29,3.20,3.40,4.80,0.27,0.84,0.00,0.00,0.00,0.00
2018-01-07 17:18:30,0.00,0.00,0.00,0.05,0.00,0.00,0.00,0.00,0.00,99.95,0.00,260.60,197.20,0.00,0.00,0.00,4684.80,9.60,0.00,30.60,0.00,0.00,0.00,0.00,37.60,0.00,37.60,0.00,9369.60,15080864,0,1352276,8.23,42036,558500,1297308,7.89,788632,392196,93796,580300,54504,2240,4004,31404,0,0,0.00,0,0.00,1,266,2.41,2.13,1.40,0,37.60,0.00,9369.60,249.19,1.05,27.83,0.30,1.12,3.40,4.80,0.27,0.84,0.00,0.00,0.00,0.00
2018-01-07 17:18:35,2.55,0.00,0.92,0.61,0.20,0.00,0.20,0.00,0.00,95.51,6.80,2740.20,3527.60,0.00,0.00,0.00,14040.80,973.60,0.00,8550.00,0.00,0.00,0.00,0.00,111.80,0.00,111.80,0.00,28081.60,14992328,0,1440812,8.77,42040,647380,1297308,7.89,789448,481032,112576,581092,54552,2304,4008,31404,0,0,0.00,0,0.00,1,276,2.21,2.10,1.40,0,111.80,0.00,28081.60,251.18,4.40,39.33,0.31,3.44,2057.60,830.80,17967.52,56.27,0.00,0.00,0.00,1.47
2018-01-07 17:18:40,0.72,0.00,0.36,0.05,0.15,0.00,0.00,0.00,0.00,98.71,0.00,4075.00,3563.20,0.00,0.00,0.00,4710.40,11.80,0.00,4196.40,0.00,0.00,0.00,0.00,37.60,0.00,37.60,0.00,9420.80,14945852,0,1487288,9.05,42052,693124,1297308,7.89,789568,526324,135000,581180,55392,2320,4008,31404,0,0,0.00,0,0.00,1,276,2.04,2.06,1.39,1,37.60,0.00,9420.80,250.55,1.00,26.51,0.32,1.20,1045.00,604.40,9159.06,40.68,0.00,0.00,0.00,0.75
2018-01-07 17:18:45,0.92,0.00,0.31,0.00,0.26,0.00,0.31,0.00,0.00,98.21,0.00,3791.80,4424.40,0.00,0.00,0.00,42.40,8.40,0.00,4203.80,0.00,0.00,0.00,0.00,1.20,0.00,1.20,0.00,84.80,14899252,0,1533888,9.33,42056,738556,1297308,7.89,789528,572192,180260,581132,56600,2312,4008,31404,0,0,0.00,0,0.00,0,275,1.87,2.03,1.38,0,1.20,0.00,84.80,70.67,0.00,0.00,0.00,0.00,1045.80,604.40,9176.01,40.74,0.00,0.00,0.00,0.75
2018-01-07 17:18:50,54.61,0.00,4.18,0.00,0.10,0.00,0.25,0.00,0.00,40.86,21.80,2727.40,2790.60,0.00,0.00,0.00,51.20,19399.60,0.00,16415.00,0.00,0.00,0.00,0.00,7.80,0.00,7.80,0.00,102.40,14377796,0,2055344,12.51,42060,755484,3120640,18.99,1385860,487908,197048,1076328,61352,2856,6552,31404,0,0,0.00,0,0.00,12,343,2.36,2.13,1.42,0,7.80,0.00,102.40,13.13,0.00,0.00,0.00,0.00,410.40,238.40,3550.76,16.51,0.00,0.00,0.00,0.29
2018-01-07 17:18:55,89.34,0.00,5.20,0.00,0.20,0.00,1.02,0.00,0.00,4.23,19.20,6637.00,6355.60,0.00,0.00,0.00,76.80,16714.20,0.00,30177.40,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,153.60,13569804,0,2863336,17.42,42076,901904,3828052,23.29,2122132,554244,343840,1733756,62264,3272,8020,31404,0,0,0.00,0,0.00,2,392,2.90,2.24,1.46,0,1.00,0.00,153.60,153.60,0.00,2.40,0.80,0.08,3395.60,1511.80,29577.43,112.77,0.00,0.00,0.00,2.42
2018-01-07 17:19:00,34.28,0.00,2.90,0.71,0.71,0.00,0.27,0.00,0.00,61.12,2.40,9442.60,10371.40,0.00,0.00,0.00,17670.40,1603.40,0.00,30119.80,0.00,0.00,0.00,0.00,138.40,0.00,138.40,0.00,35340.80,13036676,0,3396464,20.67,42084,1094748,4327968,26.34,2546656,647136,448496,2067616,67820,3280,8584,31404,0,0,0.00,0,0.00,1,395,2.98,2.27,1.47,0,138.40,0.00,35340.80,255.35,5.29,38.23,0.30,4.16,2401.00,1378.80,21050.22,93.47,0.00,0.00,0.00,1.72
