timestamp,cpu.%usr,cpu.%nice,cpu.%sys,cpu.%iowait,cpu.%steal,cpu.%irq,cpu.%soft,cpu.%guest,cpu.%gnice,cpu.%idle,task.proc/s,task.cswch/s,intr.intr/s,swap.pswpin/s,swap.pswpout/s,paging.pgpgin/s,paging.pgpgout/s,paging.fault/s,paging.majflt/s,paging.pgfree/s,paging.pgscank/s,paging.pgscand/s,paging.pgsteal/s,paging.%vmeff,io.tps,io.rtps,io.wtps,io.bread/s,io.bwrtn/s,memory.kbmemfree,memory.kbavail,memory.kbmemused,memory.%memused,memory.kbbuffers,memory.kbcached,memory.kbcommit,memory.%commit,memory.kbactive,memory.kbinact,memory.kbdirty,memory.kbanonpg,memory.kbslab,memory.kbkstack,memory.kbpgtbl,memory.kbvmused,swap.kbswpfree,swap.kbswpused,swap.%swpused,swap.kbswpcad,swap.%swpcad,load.runq-sz,load.plist-sz,load.ldavg-1,load.ldavg-5,load.ldavg-15,load.blocked,disk.tps,disk.rd_sec/s,disk.wr_sec/s,disk.avgrq-sz,disk.avgqu-sz,disk.await,disk.svctm,disk.%util,network.rxpck/s,network.txpck/s,network.rxkB/s,network.txkB/s,network.rxcmp/s,network.txcmp/s,network.rxmcst/s,network.%ifutil
2018-01-05 06:53:08,0.05,0.00,0.00,0.05,0.00,0.00,0.00,0.00,0.00,99.90,0.20,346.00,246.00,0.00,0.00,0.00,22.40,630.60,0.00,1344.60,0.00,0.00,0.00,0.00,0.60,0.00,0.60,0.00,44.80,9823528,0,5577424,36.21,31276,4688584,1268480,8.24,993144,4297268,84,570616,169668,2456,3588,31276,0,0,0.00,0,0.00,0,289,2.87,8.14,6.64,0,0.60,0.00,44.80,74.67,0.00,5.33,5.33,0.32,3.20,4.60,0.33,0.68,0.00,0.00,0.00,0.00
2018-01-05 06:53:13,0.35,0.00,0.20,0.00,0.03,0.00,0.00,0.00,0.00,99.42,15.20,558.60,471.80,0.00,0.00,0.00,0.00,7763.60,0.00,2558.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9817320,0,5583632,36.26,31276,4688636,1270692,8.25,999600,4297296,224,577032,169288,2440,4096,31276,0,0,0.00,0,0.00,0,292,2.64,8.01,6.60,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.80,18.00,12.57,12.68,0.00,0.00,0.00,0.00
2018-01-05 06:53:18,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,99.97,0.20,298.40,196.80,0.00,0.00,0.00,16.00,13.00,0.00,96.40,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,32.00,9817508,0,5583444,36.25,31284,4689012,1270692,8.25,999448,4297648,612,576832,169272,2448,4096,31276,0,0,0.00,0,0.00,0,292,2.43,7.87,6.57,0,0.40,0.00,32.00,80.00,0.00,2.00,2.00,0.08,15.00,16.80,59.43,64.84,0.00,0.00,0.00,0.01
2018-01-05 06:53:23,0.00,0.00,0.00,0.03,0.00,0.00,0.00,0.00,0.00,99.97,0.00,287.40,180.20,0.00,0.00,0.00,12.80,8.40,0.00,27.40,0.00,0.00,0.00,0.00,0.60,0.00,0.60,0.00,25.60,9817508,0,5583444,36.25,31292,4689036,1270692,8.25,999460,4297672,632,576832,169272,2448,4096,31276,0,0,0.00,0,0.00,0,292,2.23,7.74,6.53,0,0.60,0.00,25.60,42.67,0.00,0.00,0.00,0.00,3.00,4.40,0.24,0.84,0.00,0.00,0.00,0.00
2018-01-05 06:53:28,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,99.97,0.00,275.00,173.00,0.00,0.00,0.00,44.80,10.20,0.00,25.80,0.00,0.00,0.00,0.00,6.80,0.00,6.80,0.00,89.60,9817400,0,5583552,36.25,31304,4689060,1270692,8.25,999480,4297700,520,576840,169256,2448,4096,31276,0,0,0.00,0,0.00,0,292,2.06,7.61,6.50,0,6.80,0.00,89.60,13.18,0.00,0.12,0.12,0.08,2.00,3.00,0.17,0.64,0.00,0.00,0.00,0.00
2018-01-05 06:53:33,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,99.97,0.00,282.60,181.00,0.00,0.00,0.00,113.60,9.00,0.00,25.40,0.00,0.00,0.00,0.00,4.20,0.00,4.20,0.00,227.20,9817400,0,5583552,36.25,31312,4689084,1270692,8.25,999492,4297716,24,576844,169260,2448,4096,31276,0,0,0.00,0,0.00,0,292,1.89,7.49,6.46,0,4.20,0.00,227.20,54.10,0.00,0.19,0.19,0.08,2.60,4.00,0.22,0.82,0.00,0.00,0.00,0.00
2018-01-05 06:53:38,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,99.97,0.00,286.80,172.00,0.00,0.00,0.00,10.40,9.40,0.00,27.80,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,20.80,9817408,0,5583544,36.25,31320,4689108,1270692,8.25,999496,4297724,92,576844,169252,2448,4096,31276,0,0,0.00,0,0.00,0,292,1.74,7.36,6.43,0,0.40,0.00,20.80,52.00,0.00,2.00,2.00,0.08,2.60,3.80,0.22,0.81,0.00,0.00,0.00,0.00
2018-01-05 06:53:43,45.73,0.00,2.08,0.00,0.03,0.00,0.00,0.00,0.00,52.16,68.80,4188.60,2573.60,0.00,0.00,2.40,2.40,38118.00,0.00,13651.00,0.00,0.00,0.00,0.00,1.00,0.60,0.40,4.80,4.80,8937884,0,6463068,41.97,31328,4690100,3667148,23.81,1851940,4298544,1244,1448856,172884,4088,8460,31276,0,0,0.00,0,0.00,28,500,3.12,7.56,6.50,0,1.00,4.80,4.80,9.60,0.00,1.60,1.60,0.16,26.40,25.20,27.82,3.57,0.00,0.00,0.00,0.00
2018-01-05 06:53:48,92.84,0.00,2.63,0.00,0.03,0.00,0.20,0.00,0.00,4.31,24.80,10115.80,3576.80,0.00,0.00,1.60,92.00,15203.60,0.00,8736.80,0.00,0.00,0.00,0.00,1.60,0.40,1.20,3.20,184.00,7832020,0,7568932,49.15,31340,4691092,3818128,24.79,2970800,4299476,2664,2548044,175632,4832,11612,31276,0,0,0.00,0,0.00,25,590,4.71,7.81,6.58,0,1.60,3.20,184.00,117.00,0.01,8.50,3.00,0.48,41.80,50.80,12.45,23.83,0.00,0.00,0.00,0.00
2018-01-05 06:53:53,91.82,0.00,4.28,0.00,0.00,0.00,0.13,0.00,0.00,3.78,0.00,7141.40,2729.20,0.00,0.00,0.00,36.00,728.80,0.00,1322.40,0.00,0.00,0.00,0.00,0.80,0.00,0.80,0.00,72.00,7088200,0,8312752,53.98,31352,5348404,3818128,24.79,3697312,4297760,661004,2616600,192248,4688,11752,31276,0,0,0.00,0,0.00,12,570,5.22,7.87,6.61,0,0.80,0.00,72.00,90.00,0.00,3.00,1.00,0.08,11.60,15.20,1.00,3.93,0.00,0.00,0.00,0.00
