timestamp,cpu.%usr,cpu.%nice,cpu.%sys,cpu.%iowait,cpu.%steal,cpu.%irq,cpu.%soft,cpu.%guest,cpu.%gnice,cpu.%idle,task.proc/s,task.cswch/s,intr.intr/s,swap.pswpin/s,swap.pswpout/s,paging.pgpgin/s,paging.pgpgout/s,paging.fault/s,paging.majflt/s,paging.pgfree/s,paging.pgscank/s,paging.pgscand/s,paging.pgsteal/s,paging.%vmeff,io.tps,io.rtps,io.wtps,io.bread/s,io.bwrtn/s,memory.kbmemfree,memory.kbavail,memory.kbmemused,memory.%memused,memory.kbbuffers,memory.kbcached,memory.kbcommit,memory.%commit,memory.kbactive,memory.kbinact,memory.kbdirty,memory.kbanonpg,memory.kbslab,memory.kbkstack,memory.kbpgtbl,memory.kbvmused,swap.kbswpfree,swap.kbswpused,swap.%swpused,swap.kbswpcad,swap.%swpcad,load.runq-sz,load.plist-sz,load.ldavg-1,load.ldavg-5,load.ldavg-15,load.blocked,disk.tps,disk.rd_sec/s,disk.wr_sec/s,disk.avgrq-sz,disk.avgqu-sz,disk.await,disk.svctm,disk.%util,network.rxpck/s,network.txpck/s,network.rxkB/s,network.txkB/s,network.rxcmp/s,network.txcmp/s,network.rxmcst/s,network.%ifutil
2018-01-06 16:43:38,0.20,0.00,0.05,31.12,0.05,0.00,0.00,0.00,0.00,68.57,0.40,309.00,383.60,0.00,0.00,0.80,24648.80,654.60,0.00,1471.40,0.00,0.00,0.00,0.00,189.60,0.20,189.40,1.60,48427.20,28207768,0,3192152,10.17,28688,2374612,1436932,4.58,770896,2130488,1481788,498092,98128,2192,3424,58076,0,0,0.00,0,0.00,0,260,3.54,1.81,1.32,1,189.60,1.60,48427.20,255.43,130.55,699.89,5.27,100.00,3.00,4.40,0.29,0.66,0.00,0.00,0.00,0.00
2018-01-06 16:43:43,0.95,0.00,0.45,28.70,0.10,0.00,0.00,0.00,0.00,69.79,15.00,511.60,610.20,0.00,0.00,0.80,22069.60,7753.60,0.00,2481.40,0.00,0.00,0.00,0.00,174.80,0.20,174.60,1.60,44600.00,28203004,0,3196916,10.18,28704,2374656,1436932,4.58,775468,2130476,1371428,502608,98136,2232,3852,58076,0,0,0.00,0,0.00,0,266,3.34,1.79,1.32,1,174.80,1.60,44600.00,255.16,131.32,763.19,5.72,100.00,19.60,34.80,2.43,346.45,0.00,0.00,0.00,0.00
2018-01-06 16:43:48,1.96,0.00,0.35,34.09,0.05,0.00,0.05,0.00,0.00,63.49,17.00,720.80,884.60,0.00,0.00,22.40,21556.00,3619.80,0.00,794.40,0.00,0.00,0.00,0.00,186.00,3.80,182.20,44.80,46643.20,28173952,0,3225968,10.27,28736,2375212,1984176,6.32,803544,2131072,1264220,530704,98924,2416,4196,58076,0,0,0.00,0,0.00,1,287,3.23,1.80,1.33,4,186.00,44.80,46643.20,251.01,131.19,694.36,5.38,100.00,26.20,24.60,94.35,3.26,0.00,0.00,0.00,0.00
2018-01-06 16:43:53,20.82,0.00,0.70,33.90,0.10,0.00,0.00,0.00,0.00,44.47,1.60,693.00,1214.40,0.00,0.00,105.60,36077.60,5582.80,0.00,3485.80,0.00,0.00,0.00,0.00,280.40,7.20,273.20,209.60,69840.00,27982132,0,3417788,10.88,28756,2375732,2015084,6.42,994740,2131308,1084164,721660,98788,2448,4660,58076,0,0,0.00,0,0.00,0,292,3.13,1.80,1.33,3,280.40,209.60,69840.00,249.82,138.34,493.96,3.57,100.00,7.40,9.60,0.57,1.42,0.00,0.00,0.00,0.00
2018-01-06 16:43:58,4.47,0.00,0.40,30.62,0.05,0.00,0.00,0.00,0.00,64.46,1.80,495.40,664.40,0.00,0.00,76.00,25380.00,598.80,0.00,1414.20,0.00,0.00,0.00,0.00,204.60,7.60,197.00,147.20,50004.80,27956268,0,3443652,10.97,28764,2376208,2015084,6.42,1020888,2131420,957232,747384,98600,2456,4684,58076,0,0,0.00,0,0.00,0,298,3.04,1.80,1.33,2,204.60,147.20,50004.80,245.12,133.22,611.52,4.89,100.00,6.60,8.80,3.30,1.27,0.00,0.00,0.00,0.00
2018-01-06 16:44:03,11.80,0.00,0.25,42.24,0.10,0.00,0.00,0.00,0.00,45.61,8.60,704.00,919.60,0.00,0.00,42.40,14392.80,855.60,0.00,108.80,0.00,0.00,0.00,0.00,117.60,3.40,114.20,89.60,29179.20,27941484,0,3458436,11.01,28776,2376460,2046336,6.52,1035908,2131492,885728,762240,98948,2832,4876,58076,0,0,0.00,0,0.00,0,341,2.96,1.81,1.34,2,117.60,89.60,29179.20,248.88,124.88,1147.50,8.50,100.00,3.20,5.00,0.27,0.93,0.00,0.00,0.00,0.00
2018-01-06 16:44:08,28.77,0.00,1.67,21.63,0.10,0.00,0.05,0.00,0.00,47.77,43.20,2395.60,2751.20,0.00,0.00,42.40,31266.40,7833.60,0.00,1261.40,0.00,0.00,0.00,0.00,256.80,4.80,252.00,86.40,62139.20,27762380,0,3637540,11.58,28788,2377764,2955552,9.41,1204116,2131848,730612,935524,100256,3672,6256,58076,0,0,0.00,0,0.00,7,446,2.80,1.79,1.33,1,256.80,86.40,62139.20,242.31,136.87,526.51,3.90,100.08,153.40,203.20,20.11,67.99,0.00,0.00,0.00,0.00
2018-01-06 16:44:13,92.42,0.00,3.06,0.40,0.10,0.00,0.15,0.00,0.00,3.86,10.80,2440.00,2553.80,0.00,0.00,3.20,15225.60,14391.80,0.00,8985.60,0.00,0.00,0.00,0.00,148.80,0.80,148.00,6.40,37568.00,27185800,0,4214120,13.42,28804,2378228,3018100,9.61,1782856,2132184,655028,1508060,100980,3952,7728,58076,0,0,0.00,0,0.00,7,481,3.22,1.90,1.37,0,148.80,6.40,37568.00,252.52,68.80,522.58,3.72,55.28,188.40,135.60,51.61,21.93,0.00,0.00,0.00,0.00
2018-01-06 16:44:18,85.66,0.00,3.62,5.38,0.05,0.00,0.50,0.00,0.00,4.78,0.00,4201.80,3105.80,0.00,0.00,5.60,26447.20,196.80,0.00,693.80,0.00,0.00,0.00,0.00,176.80,0.80,176.00,11.20,44907.20,26937012,0,4462908,14.21,28824,2600904,3018100,9.61,2025968,2130836,746572,1527252,107252,3936,7764,58076,0,0,0.00,0,0.00,4,477,3.28,1.93,1.38,1,176.80,11.20,44907.20,254.06,79.98,404.00,3.20,56.56,43.20,27.00,6.33,3.70,0.00,0.00,0.00,0.00
2018-01-06 16:44:23,71.74,0.00,6.74,10.11,0.05,0.00,0.10,0.00,0.00,11.26,6.80,2754.40,2399.20,0.00,0.00,1.60,40118.40,601.00,0.00,14867.60,0.00,0.00,0.00,0.00,319.60,0.40,319.20,3.20,81614.40,26614528,0,4785392,15.24,28856,2915552,3018100,9.61,2343680,2125968,865996,1524948,116564,4016,7768,58076,0,0,0.00,0,0.00,1,468,3.42,1.98,1.40,1,319.60,3.20,81614.40,255.37,138.48,399.54,3.13,100.00,106.00,63.00,34.74,7.59,0.00,0.00,0.00,0.00
