timestamp,cpu.%usr,cpu.%nice,cpu.%sys,cpu.%iowait,cpu.%steal,cpu.%irq,cpu.%soft,cpu.%guest,cpu.%gnice,cpu.%idle,task.proc/s,task.cswch/s,intr.intr/s,swap.pswpin/s,swap.pswpout/s,paging.pgpgin/s,paging.pgpgout/s,paging.fault/s,paging.majflt/s,paging.pgfree/s,paging.pgscank/s,paging.pgscand/s,paging.pgsteal/s,paging.%vmeff,io.tps,io.rtps,io.wtps,io.bread/s,io.bwrtn/s,memory.kbmemfree,memory.kbavail,memory.kbmemused,memory.%memused,memory.kbbuffers,memory.kbcached,memory.kbcommit,memory.%commit,memory.kbactive,memory.kbinact,memory.kbdirty,memory.kbanonpg,memory.kbslab,memory.kbkstack,memory.kbpgtbl,memory.kbvmused,swap.kbswpfree,swap.kbswpused,swap.%swpused,swap.kbswpcad,swap.%swpcad,load.runq-sz,load.plist-sz,load.ldavg-1,load.ldavg-5,load.ldavg-15,load.blocked,disk.tps,disk.rd_sec/s,disk.wr_sec/s,disk.avgrq-sz,disk.avgqu-sz,disk.await,disk.svctm,disk.%util,network.rxpck/s,network.txpck/s,network.rxkB/s,network.txkB/s,network.rxcmp/s,network.txcmp/s,network.rxmcst/s,network.%ifutil
2018-01-05 07:37:33,0.10,0.00,0.18,12.28,0.10,0.00,0.00,0.00,0.00,87.35,0.20,384.60,1327.00,0.00,0.00,0.00,146086.40,652.00,0.00,1278.40,0.00,0.00,0.00,0.00,1123.40,0.00,1123.40,0.00,285590.40,29493924,0,3454280,10.48,40704,2558980,1502848,4.56,947772,2165016,1127004,513112,127156,2528,3484,57980,0,0,0.00,0,0.00,0,302,1.69,4.14,5.59,1,1123.40,0.00,285590.40,254.22,135.78,118.94,0.86,96.80,3.20,4.60,0.33,0.72,0.00,0.00,0.00,0.00
2018-01-05 07:37:38,0.48,0.00,0.25,12.48,0.10,0.00,0.00,0.00,0.00,86.69,14.40,583.20,1384.40,0.00,0.00,0.00,122579.20,7752.80,0.00,2511.00,0.00,0.00,0.00,0.00,957.60,0.00,957.60,0.00,244572.80,29489820,0,3458384,10.50,40720,2559012,1497532,4.55,952064,2165020,514616,517336,126912,2488,3880,57980,0,0,0.00,0,0.00,0,305,1.64,4.09,5.56,1,957.60,0.00,244572.80,255.40,141.29,147.50,1.04,100.00,8.40,9.80,1.67,1.75,0.00,0.00,0.00,0.00
2018-01-05 07:37:43,0.00,0.00,0.13,10.43,0.08,0.00,0.00,0.00,0.00,89.37,0.00,338.00,1014.20,0.00,0.00,0.00,102876.80,9.60,0.00,38.60,0.00,0.00,0.00,0.00,833.80,0.00,833.80,0.00,212921.60,29489840,0,3458364,10.50,40732,2559028,1497532,4.55,952100,2165020,100,517404,126704,2552,3984,57980,0,0,0.00,0,0.00,0,305,1.59,4.04,5.54,0,833.80,0.00,212921.60,255.36,120.52,147.20,1.04,87.04,2.80,4.00,0.23,0.75,0.00,0.00,0.00,0.00
2018-01-05 07:37:48,0.00,0.00,0.03,0.00,0.00,0.00,0.00,0.00,0.00,99.97,0.00,286.60,167.80,0.00,0.00,0.00,4.80,7.80,0.00,27.40,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,9.60,29489848,0,3458356,10.50,40740,2559052,1497532,4.55,952112,2165032,364,517408,126696,2552,3984,57980,0,0,0.00,0,0.00,0,305,1.46,3.97,5.51,0,0.40,0.00,9.60,24.00,0.00,0.00,0.00,0.00,3.00,4.40,0.25,0.85,0.00,0.00,0.00,0.00
2018-01-05 07:37:53,0.79,0.00,0.23,0.00,0.13,0.00,0.10,0.00,0.00,98.76,5.20,4121.20,4415.20,0.00,0.00,0.00,0.00,738.40,0.00,6627.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,29422372,0,3525832,10.70,40740,2627496,1497532,4.55,952784,2233032,68816,518072,126824,2616,3984,57980,0,0,0.00,0,0.00,0,313,1.34,3.90,5.48,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1588.80,831.40,13857.49,57.23,0.00,0.00,0.00,1.14
2018-01-05 07:37:58,6.77,0.00,1.80,0.03,0.10,0.00,0.08,0.00,0.00,91.22,49.60,5431.20,5429.40,0.00,0.00,0.00,30.40,14434.00,0.00,23464.40,0.00,0.00,0.00,0.00,2.20,0.00,2.20,0.00,60.80,29139208,0,3808996,11.56,40788,2755524,7073788,21.47,1198472,2263944,196896,665552,130356,2664,6028,57980,0,0,0.00,0,0.00,23,491,1.24,3.84,5.45,0,2.20,0.00,60.80,27.64,0.00,0.36,0.36,0.08,2970.40,1159.00,25997.72,76.46,0.00,0.00,0.00,2.13
2018-01-05 07:38:03,95.14,0.00,4.21,0.00,0.00,0.03,0.03,0.00,0.00,0.60,52.80,4660.60,2991.40,0.00,0.00,0.00,132.80,49784.60,0.00,23375.80,0.00,0.00,0.00,0.00,2.60,0.00,2.60,0.00,265.60,27025632,0,5922572,17.98,40796,2756548,8642992,26.23,3281376,2258948,197960,2767876,134444,5312,11676,57980,0,0,0.00,0,0.00,34,650,2.58,4.07,5.52,0,2.60,0.00,265.60,102.15,0.00,0.92,0.31,0.08,34.00,42.00,4.82,11.68,0.00,0.00,0.00,0.00
2018-01-05 07:38:08,13.92,0.00,0.58,0.00,0.03,0.00,0.03,0.00,0.00,85.45,6.20,1846.00,1318.60,0.00,0.00,0.00,144.00,3915.20,0.00,3347.00,0.00,0.00,0.00,0.00,8.60,0.00,8.60,0.00,288.00,26898448,0,6049756,18.36,40804,2756576,8659368,26.28,3429456,2258328,197600,2892452,134576,4936,12520,57980,0,0,0.00,0,0.00,0,601,2.37,4.01,5.49,0,8.60,0.00,288.00,33.49,0.00,0.00,0.00,0.00,34.20,37.60,4.78,14.75,0.00,0.00,0.00,0.00
2018-01-05 07:38:13,13.91,0.00,0.73,0.00,0.03,0.00,0.08,0.00,0.00,85.26,3.20,2240.60,2202.00,0.00,0.00,0.00,23.20,12174.40,0.00,12057.00,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,12.80,26647736,0,6300468,19.12,40816,2791628,8872688,26.93,3663016,2274224,232560,3106456,134512,4976,12964,57980,0,0,0.00,0,0.00,0,609,2.66,4.04,5.49,2,0.40,0.00,12.80,32.00,0.00,2.00,2.00,0.08,826.20,556.20,7174.35,45.06,0.00,0.00,0.00,0.59
2018-01-05 07:38:18,1.75,0.00,0.46,0.03,0.13,0.00,0.10,0.00,0.00,97.54,0.00,3693.20,4152.60,0.00,0.00,0.00,5.60,33.00,0.00,8701.60,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,35.20,26637864,0,6310340,19.15,40824,2840368,8853348,26.87,3650132,2296452,281360,3067804,134544,4984,12944,57980,0,0,0.00,0,0.00,0,609,2.53,3.99,5.47,1,0.60,0.00,44.80,74.67,0.00,2.67,2.67,0.16,1120.40,1010.00,9802.73,74.12,0.00,0.00,0.00,0.80
