timestamp,cpu.%usr,cpu.%nice,cpu.%sys,cpu.%iowait,cpu.%steal,cpu.%irq,cpu.%soft,cpu.%guest,cpu.%gnice,cpu.%idle,task.proc/s,task.cswch/s,intr.intr/s,swap.pswpin/s,swap.pswpout/s,paging.pgpgin/s,paging.pgpgout/s,paging.fault/s,paging.majflt/s,paging.pgfree/s,paging.pgscank/s,paging.pgscand/s,paging.pgsteal/s,paging.%vmeff,io.tps,io.rtps,io.wtps,io.bread/s,io.bwrtn/s,memory.kbmemfree,memory.kbavail,memory.kbmemused,memory.%memused,memory.kbbuffers,memory.kbcached,memory.kbcommit,memory.%commit,memory.kbactive,memory.kbinact,memory.kbdirty,memory.kbanonpg,memory.kbslab,memory.kbkstack,memory.kbpgtbl,memory.kbvmused,swap.kbswpfree,swap.kbswpused,swap.%swpused,swap.kbswpcad,swap.%swpcad,load.runq-sz,load.plist-sz,load.ldavg-1,load.ldavg-5,load.ldavg-15,load.blocked,disk.tps,disk.rd_sec/s,disk.wr_sec/s,disk.avgrq-sz,disk.avgqu-sz,disk.await,disk.svctm,disk.%util,network.rxpck/s,network.txpck/s,network.rxkB/s,network.txkB/s,network.rxcmp/s,network.txcmp/s,network.rxmcst/s,network.%ifutil
2018-01-06 04:32:47,0.18,0.00,0.10,0.20,0.00,0.00,0.00,0.00,0.00,99.52,1.80,470.00,465.00,0.00,0.00,0.00,10773.60,832.80,0.00,23189.60,0.00,0.00,0.00,0.00,96.00,0.00,96.00,0.00,21547.20,31236196,0,1712008,5.20,46520,697128,1685000,5.11,924548,496728,294556,677652,75320,2648,3812,57980,0,0,0.00,0,0.00,1,312,6.24,3.82,2.20,0,96.00,0.00,21547.20,224.45,2.80,29.16,0.25,2.40,5.20,6.80,0.60,0.94,0.00,0.00,0.00,0.00
2018-01-06 04:32:52,0.48,0.00,0.15,0.00,0.00,0.00,0.00,0.00,0.00,99.37,14.40,507.20,436.80,0.00,0.00,0.00,3795.20,7753.20,0.00,2503.60,0.00,0.00,0.00,0.00,31.40,0.00,31.40,0.00,7590.40,31232768,0,1715436,5.21,46532,697152,1686700,5.12,928656,496744,275832,681748,75168,2632,4288,57980,0,0,0.00,0,0.00,0,315,5.74,3.75,2.19,0,31.40,0.00,7590.40,241.73,0.61,19.31,0.25,0.80,8.20,9.40,1.65,1.65,0.00,0.00,0.00,0.00
2018-01-06 04:32:57,1.83,0.00,1.38,0.15,0.05,0.00,0.25,0.00,0.00,96.34,8.80,578.20,1821.00,0.00,0.00,0.00,11220.00,1826.20,0.00,28596.80,0.00,0.00,0.00,0.00,88.60,0.00,88.60,0.00,22440.00,31021808,0,1926396,5.85,46532,894124,2392212,7.26,1036024,595708,416700,691200,79908,2672,4344,57980,0,0,0.00,0,0.00,4,335,5.28,3.69,2.18,0,88.60,0.00,22440.00,253.27,2.95,33.26,0.28,2.48,4576.60,1186.60,39852.58,77.39,0.00,0.00,0.00,3.26
2018-01-06 04:33:02,15.65,0.00,0.83,0.33,0.05,0.00,0.00,0.00,0.00,83.14,15.60,1298.40,1893.80,0.00,0.00,0.00,18277.60,12722.20,0.00,8447.60,0.00,0.00,0.00,0.00,145.60,0.00,145.60,0.00,36555.20,30669108,0,2279096,6.92,46544,893704,3279392,9.95,1397148,587820,325700,1044792,79796,3024,5824,57980,0,0,0.00,0,0.00,3,392,5.10,3.68,2.18,0,145.60,0.00,36555.20,251.07,5.06,34.79,0.34,4.96,31.40,40.60,4.25,10.92,0.00,0.00,0.00,0.00
2018-01-06 04:33:07,41.17,0.00,2.29,0.18,0.10,0.00,0.03,0.00,0.00,56.23,60.00,2774.20,3910.80,0.00,0.00,0.00,11284.80,32500.20,0.00,14835.40,0.00,0.00,0.00,0.00,89.80,0.00,89.80,0.00,22569.60,29536672,0,3411532,10.35,46552,894252,7427572,22.54,2511428,587072,270156,2166008,82668,4648,10200,57980,0,0,0.00,0,0.00,5,581,5.01,3.68,2.19,0,89.80,0.00,22569.60,251.33,3.12,34.73,0.29,2.64,86.00,110.20,12.51,36.84,0.00,0.00,0.00,0.00
2018-01-06 04:33:12,35.31,0.00,1.56,0.15,0.05,0.00,0.03,0.00,0.00,62.90,37.60,2068.80,3037.80,0.00,0.00,0.00,14519.20,21212.20,0.00,15867.20,0.00,0.00,0.00,0.00,115.20,0.00,115.20,0.00,29038.40,28639424,0,4308780,13.08,46560,894472,8918132,27.07,3410452,587176,198204,3056908,84656,5456,12792,57980,0,0,0.00,0,0.00,2,651,5.01,3.71,2.20,0,115.20,0.00,29038.40,252.07,3.95,34.31,0.28,3.20,58.00,70.20,8.33,24.45,0.00,0.00,0.00,0.00
2018-01-06 04:33:17,12.22,0.00,0.85,0.03,0.05,0.00,0.10,0.00,0.00,86.75,3.20,3347.20,1949.00,0.00,0.00,0.00,96.00,10607.00,0.00,14343.00,0.00,0.00,0.00,0.00,1.80,0.00,1.80,0.00,155.20,28430028,0,4518176,13.71,46576,942632,9072820,27.54,3591816,609716,246236,3214188,85028,5344,13152,57980,0,0,0.00,0,0.00,0,657,4.61,3.64,2.19,2,1.80,0.00,155.20,86.22,0.00,0.44,0.44,0.08,1136.60,645.80,9906.89,52.88,0.00,0.00,0.00,0.81
2018-01-06 04:33:22,1.85,0.00,0.51,0.00,0.05,0.00,0.05,0.00,0.00,97.54,0.00,3146.40,3678.00,0.00,0.00,0.00,130.40,17.20,0.00,9002.40,0.00,0.00,0.00,0.00,13.60,0.00,13.60,0.00,297.60,28400192,0,4548012,13.80,46580,998856,9072820,27.54,3595584,635452,301828,3188416,84600,5368,13292,57980,0,0,0.00,0,0.00,0,657,4.24,3.58,2.18,0,13.60,0.00,297.60,21.88,0.02,1.59,0.12,0.16,1272.60,1077.60,11170.50,75.88,0.00,0.00,0.00,0.92
2018-01-06 04:33:27,1.72,0.00,0.56,0.00,0.10,0.00,0.05,0.00,0.00,97.57,0.00,3170.80,3604.00,0.00,0.00,0.00,4.80,22.20,0.00,7791.80,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,9.60,28362064,0,4586140,13.92,46588,1050808,9072820,27.54,3610816,660056,353800,3175668,84880,5368,13272,57980,0,0,0.00,0,0.00,0,657,3.98,3.54,2.18,0,0.40,0.00,9.60,24.00,0.00,0.00,0.00,0.00,1191.60,1030.20,10445.22,73.81,0.00,0.00,0.00,0.86
2018-01-06 04:33:32,1.57,0.00,0.68,1.14,0.13,0.00,0.05,0.00,0.00,96.42,0.00,3307.00,4038.40,0.00,0.00,0.00,39364.80,24.60,0.00,7442.60,0.00,0.00,0.00,0.00,336.40,0.00,336.40,0.00,78729.60,28306256,0,4641948,14.09,46596,1104568,9072820,27.54,3639984,685244,210784,3175908,84724,5368,13272,57980,0,0,0.00,0,0.00,2,657,3.82,3.52,2.17,2,336.40,0.00,78729.60,234.04,16.61,49.39,0.36,12.16,1239.80,1079.20,10878.26,76.63,0.00,0.00,0.00,0.89
