timestamp,cpu.%usr,cpu.%nice,cpu.%sys,cpu.%iowait,cpu.%steal,cpu.%irq,cpu.%soft,cpu.%guest,cpu.%gnice,cpu.%idle,task.proc/s,task.cswch/s,intr.intr/s,swap.pswpin/s,swap.pswpout/s,paging.pgpgin/s,paging.pgpgout/s,paging.fault/s,paging.majflt/s,paging.pgfree/s,paging.pgscank/s,paging.pgscand/s,paging.pgsteal/s,paging.%vmeff,io.tps,io.rtps,io.wtps,io.bread/s,io.bwrtn/s,memory.kbmemfree,memory.kbavail,memory.kbmemused,memory.%memused,memory.kbbuffers,memory.kbcached,memory.kbcommit,memory.%commit,memory.kbactive,memory.kbinact,memory.kbdirty,memory.kbanonpg,memory.kbslab,memory.kbkstack,memory.kbpgtbl,memory.kbvmused,swap.kbswpfree,swap.kbswpused,swap.%swpused,swap.kbswpcad,swap.%swpcad,load.runq-sz,load.plist-sz,load.ldavg-1,load.ldavg-5,load.ldavg-15,load.blocked,disk.tps,disk.rd_sec/s,disk.wr_sec/s,disk.avgrq-sz,disk.avgqu-sz,disk.await,disk.svctm,disk.%util,network.rxpck/s,network.txpck/s,network.rxkB/s,network.txkB/s,network.rxcmp/s,network.txcmp/s,network.rxmcst/s,network.%ifutil
2018-01-05 07:45:37,0.50,0.00,0.40,59.84,0.10,0.00,0.00,0.00,0.00,39.15,0.40,291.60,471.80,0.00,0.00,4.00,38696.00,588.60,0.00,1281.40,0.00,0.00,0.00,0.00,310.80,1.00,309.80,8.00,79259.20,10378392,0,5280608,33.72,33092,4437200,1126084,7.19,996600,4030604,610232,556916,150452,1944,3316,31532,0,0,0.00,0,0.00,1,229,2.03,1.98,2.01,2,310.60,8.00,79208.00,255.04,139.54,428.67,3.22,99.92,3.20,4.60,0.29,0.68,0.00,0.00,0.00,0.00
2018-01-05 07:45:42,2.13,0.00,1.01,50.40,0.20,0.00,0.00,0.00,0.00,46.26,14.40,457.00,795.80,0.00,0.00,8.80,57532.00,7732.60,0.00,2458.40,0.00,0.00,0.00,0.00,444.40,2.20,442.20,17.60,112840.00,10374220,0,5284780,33.75,33144,4437316,1120100,7.15,1001068,4030640,322796,561168,150468,2080,3920,31532,0,0,0.00,0,0.00,1,232,1.95,1.96,2.00,1,444.40,17.60,112840.00,253.95,130.37,300.75,2.25,100.00,7.40,9.00,1.49,1.57,0.00,0.00,0.00,0.00
2018-01-05 07:45:47,0.20,0.00,0.40,53.29,0.20,0.00,0.00,0.00,0.00,45.90,1.80,456.20,767.80,0.00,0.00,2.40,46051.20,46.40,0.00,73.60,0.00,0.00,0.00,0.00,363.80,0.60,363.20,4.80,92870.40,10373448,0,5285552,33.75,33168,4437368,1120100,7.15,1001656,4030668,92712,561784,150496,2024,3832,31532,0,0,0.00,0,0.00,0,239,1.87,1.94,2.00,1,363.80,4.80,92870.40,255.29,137.05,372.70,2.75,100.00,43.00,87.80,2.74,1272.08,0.00,0.00,0.00,0.00
2018-01-05 07:45:52,0.00,0.00,0.00,22.86,0.10,0.00,0.10,0.00,0.00,76.94,0.00,242.00,318.20,0.00,0.00,0.80,18475.20,8.40,0.00,18.00,0.00,0.00,0.00,0.00,171.40,0.20,171.20,1.60,43606.40,10373448,0,5285552,33.75,33180,4437400,1120100,7.15,1001676,4030692,560,561784,150484,2024,3832,31532,0,0,0.00,0,0.00,0,239,1.72,1.91,1.99,0,171.40,1.60,43606.40,254.42,62.90,403.89,3.44,58.96,3.20,4.60,0.22,0.82,0.00,0.00,0.00,0.00
2018-01-05 07:45:57,44.98,0.00,2.81,0.00,0.10,0.00,0.00,0.00,0.00,52.11,18.20,989.00,746.00,0.00,0.00,2.40,100.80,7670.80,0.00,2021.20,0.00,0.00,0.00,0.00,12.20,0.60,11.60,4.80,201.60,10216184,0,5442816,34.76,33188,4438008,1650900,10.54,1153996,4031104,768,715976,150936,2312,4796,31532,0,0,0.00,0,0.00,7,275,1.58,1.88,1.98,0,12.20,4.80,201.60,16.92,0.01,0.66,0.07,0.08,22.60,19.60,82.12,2.34,0.00,0.00,0.00,0.00
2018-01-05 07:46:02,96.39,0.00,3.41,0.00,0.00,0.00,0.00,0.00,0.00,0.20,7.20,1166.20,815.40,0.00,0.00,1.60,40.80,6201.20,0.00,2673.00,0.00,0.00,0.00,0.00,1.20,0.40,0.80,3.20,81.60,9865028,0,5793972,37.00,33200,4438276,1743368,11.13,1506548,4031348,1216,1066352,151284,2488,5636,31532,0,0,0.00,0,0.00,2,298,2.34,2.03,2.02,0,1.20,3.20,81.60,70.67,0.00,0.67,0.67,0.08,15.20,19.40,21.52,2.42,0.00,0.00,0.00,0.00
2018-01-05 07:46:07,95.00,0.00,4.80,0.00,0.00,0.00,0.20,0.00,0.00,0.00,0.00,2090.20,1819.20,0.00,0.00,0.00,51.20,155.40,0.00,1232.40,0.00,0.00,0.00,0.00,1.20,0.00,1.20,0.00,102.40,9722284,0,5936716,37.91,33212,4582468,1743368,11.13,1645160,4031384,145252,1060952,155340,2456,5644,31532,0,0,0.00,0,0.00,3,293,2.63,2.10,2.05,0,1.20,0.00,102.40,85.33,0.02,18.67,18.67,2.24,4.00,6.80,0.27,1.11,0.00,0.00,0.00,0.00
2018-01-05 07:46:12,94.41,0.00,5.19,0.00,0.00,0.00,0.20,0.00,0.00,0.20,1.60,1308.40,1192.60,0.00,0.00,0.00,15.20,370.20,0.00,585.80,0.00,0.00,0.00,0.00,0.60,0.00,0.60,0.00,30.40,9481288,0,6177712,39.45,33220,4816176,1743368,11.13,1883972,4027124,383060,1061740,161788,2480,5656,31532,0,0,0.00,0,0.00,3,295,2.74,2.13,2.06,0,0.60,0.00,30.40,50.67,0.00,0.00,0.00,0.00,3.60,6.40,0.28,1.68,0.00,0.00,0.00,0.00
2018-01-05 07:46:17,83.90,0.00,6.84,0.00,0.00,0.00,0.00,0.00,0.00,9.26,14.40,1430.20,937.00,0.00,0.00,0.00,33.60,9238.60,0.00,42264.80,0.00,0.00,0.00,0.00,1.20,0.00,1.20,0.00,67.20,9903124,0,5755876,36.76,33232,4701576,1677844,10.71,1467092,4022176,273572,756420,159124,2296,4856,31532,0,0,0.00,0,0.00,5,272,2.52,2.09,2.04,0,1.20,0.00,67.20,56.00,0.00,0.67,0.67,0.08,15.00,17.00,2.38,2.75,0.00,0.00,0.00,0.00
2018-01-05 07:46:22,96.50,0.00,3.20,0.00,0.00,0.00,0.00,0.00,0.00,0.30,6.00,1306.60,927.60,0.00,0.00,0.00,41.60,2553.20,0.00,949.00,0.00,0.00,0.00,0.00,1.80,0.00,1.80,0.00,83.20,9612188,0,6046812,38.62,33244,4696716,1708628,10.91,1764648,4017688,273856,1052380,159144,2464,5604,31532,0,0,0.00,0,0.00,7,294,2.72,2.14,2.06,0,1.80,0.00,83.20,46.22,0.00,0.44,0.44,0.08,13.80,18.00,19.34,2.34,0.00,0.00,0.00,0.00
