timestamp,cpu.%usr,cpu.%nice,cpu.%sys,cpu.%iowait,cpu.%steal,cpu.%irq,cpu.%soft,cpu.%guest,cpu.%gnice,cpu.%idle,task.proc/s,task.cswch/s,intr.intr/s,swap.pswpin/s,swap.pswpout/s,paging.pgpgin/s,paging.pgpgout/s,paging.fault/s,paging.majflt/s,paging.pgfree/s,paging.pgscank/s,paging.pgscand/s,paging.pgsteal/s,paging.%vmeff,io.tps,io.rtps,io.wtps,io.bread/s,io.bwrtn/s,memory.kbmemfree,memory.kbavail,memory.kbmemused,memory.%memused,memory.kbbuffers,memory.kbcached,memory.kbcommit,memory.%commit,memory.kbactive,memory.kbinact,memory.kbdirty,memory.kbanonpg,memory.kbslab,memory.kbkstack,memory.kbpgtbl,memory.kbvmused,swap.kbswpfree,swap.kbswpused,swap.%swpused,swap.kbswpcad,swap.%swpcad,load.runq-sz,load.plist-sz,load.ldavg-1,load.ldavg-5,load.ldavg-15,load.blocked,disk.tps,disk.rd_sec/s,disk.wr_sec/s,disk.avgrq-sz,disk.avgqu-sz,disk.await,disk.svctm,disk.%util,network.rxpck/s,network.txpck/s,network.rxkB/s,network.txkB/s,network.rxcmp/s,network.txcmp/s,network.rxmcst/s,network.%ifutil
2018-01-05 06:03:22,0.90,0.00,0.70,3.91,0.10,0.00,0.00,0.00,0.00,94.38,1.80,402.60,430.20,0.00,0.00,0.00,18710.40,759.40,0.00,22819.20,0.00,0.00,0.00,0.00,147.00,0.00,147.00,0.00,37420.80,14294408,0,1364592,8.71,32420,636392,1139692,7.28,790632,419120,177228,540940,51592,2032,3284,31532,0,0,0.00,0,0.00,0,240,1.94,1.76,1.75,0,147.00,0.00,37420.80,254.56,18.03,122.62,1.09,16.00,5.00,6.20,0.49,0.82,0.00,0.00,0.00,0.00
2018-01-05 06:03:27,1.81,0.00,1.01,0.00,0.00,0.00,0.00,0.00,0.00,97.18,14.40,417.20,341.80,0.00,0.00,0.00,80.00,7735.20,0.00,5074.80,0.00,0.00,0.00,0.00,8.40,0.00,8.40,0.00,160.00,14342632,0,1316368,8.41,32432,584236,1139692,7.28,794364,367572,176988,545296,51456,2056,3792,31532,0,0,0.00,0,0.00,0,243,1.86,1.75,1.75,0,8.40,0.00,160.00,19.05,0.00,0.00,0.00,0.00,7.80,9.00,1.55,1.66,0.00,0.00,0.00,0.00
2018-01-05 06:03:32,0.10,0.00,0.10,4.02,0.10,0.00,0.00,0.00,0.00,95.68,0.00,238.00,286.60,0.00,0.00,0.00,18700.80,7.20,0.00,17.00,0.00,0.00,0.00,0.00,146.80,0.00,146.80,0.00,37401.60,14342600,0,1316400,8.41,32440,584260,1139692,7.28,794404,367592,83640,545296,51456,2056,3792,31532,0,0,0.00,0,0.00,0,243,1.71,1.72,1.74,0,146.80,0.00,37401.60,254.78,18.02,122.73,1.09,16.00,2.40,3.60,0.18,0.76,0.00,0.00,0.00,0.00
2018-01-05 06:03:37,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,99.90,0.00,229.60,134.00,0.00,0.00,0.00,29.60,7.80,0.00,17.80,0.00,0.00,0.00,0.00,1.40,0.00,1.40,0.00,59.20,14342632,0,1316368,8.41,32448,584284,1139692,7.28,794412,367616,83588,545296,51456,2056,3792,31532,0,0,0.00,0,0.00,0,243,1.58,1.69,1.73,0,1.40,0.00,59.20,42.29,0.00,0.00,0.00,0.00,1.80,3.00,0.14,0.64,0.00,0.00,0.00,0.00
2018-01-05 06:03:42,2.39,0.00,2.29,2.39,0.94,0.21,0.21,0.00,0.00,91.57,0.60,3348.00,4796.40,0.00,0.00,0.00,16616.80,23.40,0.00,6437.40,0.00,0.00,0.00,0.00,130.40,0.00,130.40,0.00,33233.60,14276804,0,1382196,8.83,32456,649824,1139692,7.28,799112,428624,66180,545456,51408,2064,3792,31532,0,0,0.00,0,0.00,1,244,1.53,1.68,1.72,0,130.40,0.00,33233.60,254.86,11.63,89.21,0.92,12.00,2209.60,1104.80,13222.89,13205.51,0.00,0.00,0.00,0.00
2018-01-05 06:03:47,0.91,0.00,0.30,0.00,0.10,0.00,0.10,0.00,0.00,98.59,2.00,568.20,531.60,0.00,0.00,0.00,84.80,255.00,0.00,470.20,0.00,0.00,0.00,0.00,2.00,0.00,2.00,0.00,169.60,14272140,0,1386860,8.86,32464,654312,1139692,7.28,799320,432956,70432,545652,51552,2056,3792,31532,0,0,0.00,0,0.00,0,247,1.41,1.65,1.72,0,2.00,0.00,169.60,84.80,0.00,0.00,0.00,0.00,112.80,70.80,933.01,5.40,0.00,0.00,0.00,0.00
2018-01-05 06:03:52,6.31,0.00,1.76,0.10,1.24,0.00,1.86,0.00,0.00,88.73,1.80,4382.40,5641.80,0.00,0.00,0.00,58.40,259.20,0.00,6710.40,0.00,0.00,0.00,0.00,1.40,0.00,1.40,0.00,116.80,14201408,0,1457592,9.31,32472,722360,1139692,7.28,799764,501192,138268,546072,52972,2112,3792,31532,0,0,0.00,0,0.00,0,250,1.29,1.62,1.71,0,1.40,0.00,116.80,83.43,0.00,0.00,0.00,0.00,2276.00,1076.00,13738.28,13198.69,0.00,0.00,0.00,0.00
2018-01-05 06:03:57,51.14,0.00,9.50,0.00,1.03,0.00,4.86,0.00,0.00,33.47,11.60,5390.80,8986.80,0.00,0.00,0.00,68.80,9212.40,0.00,21159.80,0.00,0.00,0.00,0.00,1.20,0.00,1.20,0.00,137.60,13893096,0,1765904,11.28,32488,846636,2152996,13.75,1078624,525184,262812,724684,56976,2368,4816,31532,0,0,0.00,0,0.00,8,282,1.43,1.64,1.71,0,1.20,0.00,137.60,114.67,0.00,0.00,0.00,0.00,4348.00,2861.00,12125.87,49949.27,0.00,0.00,0.00,0.00
2018-01-05 06:04:02,94.01,0.00,4.00,0.00,0.00,0.00,1.40,0.00,0.00,0.60,7.40,1910.80,2435.60,0.00,0.00,0.00,83.20,7968.40,0.00,6155.20,0.00,0.00,0.00,0.00,8.00,0.00,8.00,0.00,166.40,13576132,0,2082868,13.30,32496,848432,2399436,15.32,1397196,522252,264388,1039016,57212,2496,5516,31532,0,0,0.00,0,0.00,4,301,1.64,1.68,1.72,0,8.00,0.00,166.40,20.80,0.00,0.00,0.00,0.00,977.20,545.40,422.54,15912.81,0.00,0.00,0.00,0.00
2018-01-05 06:04:07,45.31,0.00,8.59,3.35,1.34,0.11,3.01,0.00,0.00,38.28,1.40,8990.80,9332.00,0.00,0.00,16.00,17664.80,1720.40,0.00,20077.80,0.00,0.00,0.00,0.00,142.60,4.00,138.60,32.00,35329.60,13202532,0,2456468,15.69,32548,1087316,2614172,16.69,1647716,639596,414968,1167680,63080,2472,5660,31532,0,0,0.00,0,0.00,2,296,1.51,1.66,1.72,0,142.60,32.00,35329.60,247.98,14.98,105.02,0.98,14.00,3460.20,1715.20,30322.30,115.23,0.00,0.00,0.00,0.00
2018-01-05 06:04:12,77.55,0.00,5.26,4.65,0.10,0.00,1.21,0.00,0.00,11.22,1.60,2619.00,2610.80,0.00,0.00,0.00,30761.60,1505.80,0.00,12667.60,0.00,0.00,0.00,0.00,241.00,0.00,241.00,0.00,61523.20,12491176,0,3167824,20.23,32556,1199440,3272036,20.90,2280148,695948,373492,1762788,66088,2520,6924,31532,0,0,0.00,0,0.00,4,302,1.47,1.64,1.71,0,241.00,0.00,61523.20,255.28,46.47,192.83,1.63,39.28,549.60,295.40,4787.12,20.34,0.00,0.00,0.00,0.00
2018-01-05 06:04:17,95.70,0.00,3.00,0.00,0.00,0.00,0.10,0.00,0.00,1.20,1.00,1269.60,974.00,0.00,0.00,0.00,38.40,2004.40,0.00,594.80,0.00,0.00,0.00,0.00,0.80,0.00,0.80,0.00,76.80,11786128,0,3872872,24.73,32564,1199540,4009576,25.61,3000852,695928,373608,2464680,66140,2560,8356,31532,0,0,0.00,0,0.00,5,306,1.59,1.67,1.72,0,0.80,0.00,76.80,96.00,0.00,0.00,0.00,0.00,7.60,9.80,0.79,2.62,0.00,0.00,0.00,0.00
2018-01-05 06:04:22,97.80,0.00,2.10,0.00,0.00,0.00,0.10,0.00,0.00,0.00,0.00,1164.40,978.00,0.00,0.00,0.00,9.60,375.60,0.00,1091.60,0.00,0.00,0.00,0.00,0.60,0.00,0.60,0.00,19.20,11161460,0,4497540,28.72,32572,1199564,5017564,32.04,3602052,695916,373628,3088360,66180,2552,9560,31532,0,0,0.00,0,0.00,3,305,1.70,1.69,1.73,0,0.60,0.00,19.20,32.00,0.00,0.00,0.00,0.00,2.60,4.20,0.20,1.78,0.00,0.00,0.00,0.00
2018-01-05 06:04:27,95.99,0.00,3.81,0.00,0.00,0.00,0.20,0.00,0.00,0.00,0.00,1301.60,1361.80,0.00,0.00,0.80,30211.20,3829.80,0.00,1324.60,0.00,0.00,0.00,0.00,224.80,0.20,224.60,1.60,53825.60,10329828,0,5329172,34.03,32580,1199584,5571208,35.58,4452236,695928,222656,3920188,66268,2544,11236,31532,0,0,0.00,0,0.00,5,304,1.81,1.71,1.73,1,224.80,1.60,53825.60,239.44,45.71,171.56,1.42,31.92,2.60,4.20,0.21,1.86,0.00,0.00,0.00,0.00
2018-01-05 06:04:32,98.30,0.00,1.50,0.00,0.00,0.00,0.20,0.00,0.00,0.00,0.00,1106.80,983.60,0.00,0.00,0.00,9231.20,453.80,0.00,553.20,0.00,0.00,0.00,0.00,113.80,0.00,113.80,0.00,25059.20,10010068,0,5648932,36.07,32588,1199600,5847140,37.34,4769796,695944,176728,4239720,66288,2536,11868,31532,0,0,0.00,0,0.00,4,303,1.90,1.73,1.74,0,113.80,0.00,25059.20,220.20,32.29,346.51,2.11,24.00,2.80,4.60,0.22,1.89,0.00,0.00,0.00,0.00
2018-01-05 06:04:37,99.30,0.00,0.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,796.60,790.80,0.00,0.00,0.00,67.20,190.20,0.00,331.40,0.00,0.00,0.00,0.00,6.00,0.00,6.00,0.00,134.40,9832320,0,5826680,37.21,32596,1199628,6408156,40.92,4953224,695960,176460,4416968,66280,2536,12208,31532,0,0,0.00,0,0.00,3,303,2.07,1.77,1.75,0,6.00,0.00,134.40,22.40,0.00,0.13,0.13,0.08,2.40,3.80,0.19,1.75,0.00,0.00,0.00,0.00
2018-01-05 06:04:42,98.30,0.00,1.60,0.00,0.00,0.00,0.10,0.00,0.00,0.00,0.00,1096.80,1082.20,0.00,0.00,0.00,17637.60,262.00,0.00,555.60,0.00,0.00,0.00,0.00,138.00,0.00,138.00,0.00,35275.20,9409400,0,6249600,39.91,32600,1199660,6895716,44.04,5371132,695988,88336,4838964,66236,2536,13020,31532,0,0,0.00,0,0.00,5,303,2.14,1.79,1.76,0,138.00,0.00,35275.20,255.62,14.96,108.40,1.01,14.00,2.60,4.20,0.21,1.86,0.00,0.00,0.00,0.00
2018-01-05 06:04:47,98.30,0.00,1.60,0.00,0.00,0.00,0.10,0.00,0.00,0.00,0.00,1381.40,1144.60,0.00,0.00,0.00,17644.00,95.60,0.00,960.60,0.00,0.00,0.00,0.00,138.20,0.00,138.20,0.00,35288.00,8928460,0,6730540,42.98,32608,1199684,7264892,46.39,5842968,696008,228,5318972,66296,2536,14020,31532,0,0,0.00,0,0.00,6,303,2.29,1.83,1.77,0,138.20,0.00,35288.00,255.34,14.96,108.22,1.01,14.00,2.00,3.40,0.16,0.82,0.00,0.00,0.00,0.00
