timestamp,cpu.%usr,cpu.%nice,cpu.%sys,cpu.%iowait,cpu.%steal,cpu.%irq,cpu.%soft,cpu.%guest,cpu.%gnice,cpu.%idle,task.proc/s,task.cswch/s,intr.intr/s,swap.pswpin/s,swap.pswpout/s,paging.pgpgin/s,paging.pgpgout/s,paging.fault/s,paging.majflt/s,paging.pgfree/s,paging.pgscank/s,paging.pgscand/s,paging.pgsteal/s,paging.%vmeff,io.tps,io.rtps,io.wtps,io.bread/s,io.bwrtn/s,memory.kbmemfree,memory.kbavail,memory.kbmemused,memory.%memused,memory.kbbuffers,memory.kbcached,memory.kbcommit,memory.%commit,memory.kbactive,memory.kbinact,memory.kbdirty,memory.kbanonpg,memory.kbslab,memory.kbkstack,memory.kbpgtbl,memory.kbvmused,swap.kbswpfree,swap.kbswpused,swap.%swpused,swap.kbswpcad,swap.%swpcad,load.runq-sz,load.plist-sz,load.ldavg-1,load.ldavg-5,load.ldavg-15,load.blocked,disk.tps,disk.rd_sec/s,disk.wr_sec/s,disk.avgrq-sz,disk.avgqu-sz,disk.await,disk.svctm,disk.%util,network.rxpck/s,network.txpck/s,network.rxkB/s,network.txkB/s,network.rxcmp/s,network.txcmp/s,network.rxmcst/s,network.%ifutil
2018-01-05 23:58:48,0.08,0.00,0.08,0.20,0.00,0.00,0.00,0.00,0.00,99.65,0.20,341.00,314.00,0.00,0.00,0.00,10524.00,662.20,0.00,6463.00,0.00,0.00,0.00,0.00,94.00,0.00,94.00,0.00,21048.00,13912164,0,1488788,9.67,20060,609312,1390512,9.03,814740,494528,494440,679764,61040,2608,3784,31276,0,0,0.00,0,0.00,0,313,6.69,6.90,7.13,0,94.00,0.00,21048.00,223.91,3.18,33.78,0.26,2.40,3.00,4.40,0.33,0.68,0.00,0.00,0.00,0.00
2018-01-05 23:58:53,0.70,0.00,0.50,0.38,0.03,0.00,0.00,0.00,0.00,98.40,29.20,891.40,906.60,0.00,0.00,28.80,18244.00,15507.20,0.00,5969.20,0.00,0.00,0.00,0.00,151.80,7.20,144.60,57.60,36488.00,13893648,0,1507304,9.79,20212,619548,1408788,9.15,823608,504064,413260,688384,60864,2448,4668,31276,0,0,0.00,0,0.00,1,321,6.15,6.78,7.09,0,151.80,57.60,36488.00,240.75,5.34,35.19,0.28,4.24,259.20,111.60,2136.07,9.37,0.00,0.00,0.00,0.17
2018-01-05 23:58:58,0.38,0.00,0.08,0.55,0.03,0.00,0.00,0.00,0.00,98.97,0.60,1586.80,1870.20,0.00,0.00,0.80,18716.00,22.20,0.00,6292.40,0.00,0.00,0.00,0.00,147.80,0.20,147.60,1.60,37432.00,13828600,0,1572352,10.21,20220,687340,1408788,9.15,827664,567900,387976,688424,60692,2656,4776,31276,0,0,0.00,0,0.00,0,319,5.66,6.67,7.05,0,147.80,1.60,37432.00,253.27,7.52,50.90,0.38,5.68,1556.20,619.60,13572.30,98.46,0.00,0.00,0.00,1.11
2018-01-05 23:59:03,61.30,0.00,2.41,0.00,0.05,0.00,0.00,0.00,0.00,36.24,63.20,3990.40,2829.80,0.00,0.00,0.00,31260.80,41273.80,0.00,15927.20,0.00,0.00,0.00,0.00,245.80,0.00,245.80,0.00,62521.60,12894200,0,2506752,16.28,20276,688156,3788096,24.60,1750452,568928,233196,1610980,64460,4232,9672,31276,0,0,0.00,0,0.00,11,519,5.21,6.56,7.01,0,245.80,0.00,62521.60,254.36,10.62,43.23,0.32,7.92,36.20,37.20,27.63,4.64,0.00,0.00,0.00,0.00
2018-01-05 23:59:08,96.82,0.00,2.43,0.00,0.00,0.00,0.05,0.00,0.00,0.70,21.60,10863.00,3213.40,0.00,0.00,0.00,16439.20,12114.80,0.00,8181.00,0.00,0.00,0.00,0.00,100.60,0.00,100.60,0.00,25600.00,11856768,0,3544184,23.01,20288,689132,3889968,25.26,2779852,569876,152332,2640300,66336,4864,12244,31276,0,0,0.00,0,0.00,10,594,6.31,6.76,7.08,1,100.80,0.00,25651.20,254.48,4.88,37.13,0.34,3.44,21.60,31.60,7.47,4.67,0.00,0.00,0.00,0.00
2018-01-05 23:59:13,98.30,0.00,1.32,0.00,0.00,0.00,0.10,0.00,0.00,0.27,0.00,5484.20,3121.40,0.00,0.00,0.00,14358.40,141.40,0.00,553.00,0.00,0.00,0.00,0.00,141.80,0.00,141.80,0.00,35995.20,11849208,0,3551744,23.06,20296,705708,3889968,25.26,2789080,569908,97296,2633544,66264,4784,12244,31276,0,0,0.00,0,0.00,11,584,7.25,6.95,7.13,0,141.60,0.00,35944.00,253.84,16.84,126.99,0.94,13.28,9.00,14.80,0.81,4.07,0.00,0.00,0.00,0.00
2018-01-05 23:59:18,85.94,0.00,2.91,0.00,0.03,0.00,0.03,0.00,0.00,11.09,56.60,4102.60,3342.40,0.00,0.00,0.00,179.20,34782.20,0.00,98381.00,0.00,0.00,0.00,0.00,3.80,0.00,3.80,0.00,358.40,12631636,0,2769316,17.98,20348,876684,3809464,24.74,1997284,569172,268052,1678072,70260,4208,9780,31276,0,0,0.00,0,0.00,17,514,7.31,6.97,7.14,0,3.80,0.00,358.40,94.32,0.00,0.00,0.00,0.00,45.60,47.00,8.43,8.52,0.00,0.00,0.00,0.00
2018-01-05 23:59:23,95.86,0.00,2.11,0.00,0.00,0.00,0.13,0.00,0.00,1.91,20.40,8292.20,3912.60,0.00,0.00,0.00,1576.00,13256.00,0.00,10577.60,0.00,0.00,0.00,0.00,17.00,0.00,17.00,0.00,3152.00,11714772,0,3686180,23.93,20348,918564,3912244,25.40,2909036,577572,302316,2547688,72492,4816,12088,31276,0,0,0.00,0,0.00,8,588,7.84,7.09,7.18,0,17.00,0.00,3152.00,185.41,0.03,1.55,0.38,0.64,367.20,331.60,2216.24,1203.13,0.00,0.00,0.00,0.18
2018-01-05 23:59:28,90.51,0.00,0.85,0.23,0.03,0.00,0.10,0.00,0.00,8.28,0.00,4120.60,3218.80,0.00,0.00,0.00,15688.80,118.00,0.00,654.20,0.00,0.00,0.00,0.00,136.40,0.00,136.40,0.00,31377.60,11660040,0,3740912,24.29,20360,971096,3912244,25.40,2963000,577916,276512,2550064,73120,4808,12116,31276,0,0,0.00,0,0.00,10,587,7.86,7.10,7.18,0,136.40,0.00,31377.60,230.04,4.92,36.09,0.28,3.76,22.20,21.20,114.45,5.01,0.00,0.00,0.00,0.01
2018-01-05 23:59:33,81.59,0.00,2.94,0.00,0.05,0.00,0.08,0.00,0.00,15.34,51.00,4590.20,4448.80,0.00,0.00,94.40,7300.00,29932.20,0.00,88764.60,0.00,0.00,0.00,0.00,81.60,2.20,79.40,188.80,14600.00,12266704,0,3134248,20.35,20392,1156112,3825688,24.84,2327016,607228,431448,1757540,76816,4264,9908,31276,0,0,0.00,0,0.00,17,538,7.79,7.10,7.18,0,81.60,188.80,14600.00,181.24,0.14,1.68,0.39,3.20,729.80,1009.00,1960.99,6909.04,0.00,0.00,0.00,0.57
