timestamp,cpu.%usr,cpu.%nice,cpu.%sys,cpu.%iowait,cpu.%steal,cpu.%irq,cpu.%soft,cpu.%guest,cpu.%gnice,cpu.%idle,task.proc/s,task.cswch/s,intr.intr/s,swap.pswpin/s,swap.pswpout/s,paging.pgpgin/s,paging.pgpgout/s,paging.fault/s,paging.majflt/s,paging.pgfree/s,paging.pgscank/s,paging.pgscand/s,paging.pgsteal/s,paging.%vmeff,io.tps,io.rtps,io.wtps,io.bread/s,io.bwrtn/s,memory.kbmemfree,memory.kbavail,memory.kbmemused,memory.%memused,memory.kbbuffers,memory.kbcached,memory.kbcommit,memory.%commit,memory.kbactive,memory.kbinact,memory.kbdirty,memory.kbanonpg,memory.kbslab,memory.kbkstack,memory.kbpgtbl,memory.kbvmused,swap.kbswpfree,swap.kbswpused,swap.%swpused,swap.kbswpcad,swap.%swpcad,load.runq-sz,load.plist-sz,load.ldavg-1,load.ldavg-5,load.ldavg-15,load.blocked,disk.tps,disk.rd_sec/s,disk.wr_sec/s,disk.avgrq-sz,disk.avgqu-sz,disk.await,disk.svctm,disk.%util,network.rxpck/s,network.txpck/s,network.rxkB/s,network.txkB/s,network.rxcmp/s,network.txcmp/s,network.rxmcst/s,network.%ifutil
2018-01-05 19:09:19,0.15,0.00,0.30,17.96,0.25,0.00,0.00,0.00,0.00,81.34,0.20,336.60,837.40,0.00,0.00,0.00,76616.80,654.60,0.00,4677.80,0.00,0.00,0.00,0.00,637.20,0.00,637.20,0.00,161193.60,24326688,0,7073232,22.53,31212,6156716,1429516,4.55,1031460,5640328,57824,483860,206072,2240,3456,58076,0,0,0.00,0,0.00,0,266,3.87,3.56,2.96,0,637.20,0.00,161193.60,252.97,109.60,176.14,1.22,77.52,5.20,5.80,0.43,0.86,0.00,0.00,0.00,0.00
2018-01-05 19:09:24,0.95,0.00,0.35,0.40,0.00,0.00,0.00,0.00,0.00,98.29,14.40,457.40,458.60,0.00,0.00,0.00,11490.40,7707.60,0.00,5239.80,0.00,0.00,0.00,0.00,90.20,0.00,90.20,0.00,22980.80,24377904,0,7022016,22.36,31212,6104864,1396552,4.45,1032308,5588872,284,485128,205688,2264,3884,58076,0,0,0.00,0,0.00,0,269,3.56,3.50,2.94,0,90.20,0.00,22980.80,254.78,3.43,38.02,0.31,2.80,7.60,9.40,1.52,1.69,0.00,0.00,0.00,0.00
2018-01-05 19:09:29,0.05,0.00,0.05,0.10,0.00,0.00,0.00,0.00,0.00,99.80,0.00,250.50,152.69,0.00,0.00,0.00,22.36,9.18,0.00,19.96,0.00,0.00,0.00,0.00,0.60,0.00,0.60,0.00,44.71,24378032,0,7021888,22.36,31224,6104888,1396552,4.45,1032320,5588888,352,485128,205560,2264,3884,58076,0,0,0.00,0,0.00,1,269,3.28,3.44,2.93,0,0.60,0.00,44.71,74.67,0.01,14.67,8.00,0.48,2.00,3.39,0.16,0.76,0.00,0.00,0.00,0.00
2018-01-05 19:09:34,0.00,0.00,0.00,0.00,0.05,0.00,0.00,0.00,0.00,99.95,0.00,244.40,147.00,0.00,0.00,0.00,4.80,7.80,0.00,515.60,0.00,0.00,0.00,0.00,0.80,0.00,0.80,0.00,9.60,24373584,0,7026336,22.38,31232,6104912,1396552,4.45,1036680,5588916,376,489476,205560,2264,3884,58076,0,0,0.00,0,0.00,1,269,3.01,3.39,2.91,0,0.80,0.00,9.60,12.00,0.00,0.00,0.00,0.00,1.60,2.80,0.13,0.64,0.00,0.00,0.00,0.00
2018-01-05 19:09:39,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,252.40,152.00,0.00,0.00,0.00,4.00,9.40,0.00,19.80,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,8.00,24373616,0,7026304,22.38,31240,6104936,1396552,4.45,1036692,5588928,408,489476,205560,2264,3884,58076,0,0,0.00,0,0.00,1,269,2.77,3.33,2.89,0,0.40,0.00,8.00,20.00,0.00,0.00,0.00,0.00,1.80,3.20,0.15,0.75,0.00,0.00,0.00,0.00
2018-01-05 19:09:44,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,99.95,0.00,254.40,158.00,0.00,0.00,0.00,3.20,7.60,0.00,586.00,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,6.40,24372488,0,7027432,22.38,31248,6104960,1396552,4.45,1035708,5588956,432,490528,205560,2264,3884,58076,0,0,0.00,0,0.00,1,267,2.55,3.28,2.88,0,0.40,0.00,6.40,16.00,0.00,0.00,0.00,0.00,2.00,3.40,0.16,0.76,0.00,0.00,0.00,0.00
2018-01-05 19:09:49,0.00,0.00,0.00,0.05,0.00,0.00,0.00,0.00,0.00,99.95,0.00,254.80,164.60,0.00,0.00,0.00,42.40,10.60,0.00,37.40,0.00,0.00,0.00,0.00,1.60,0.00,1.60,0.00,84.80,24372568,0,7027352,22.38,31256,6104984,1396552,4.45,1037360,5588980,460,490096,205528,2216,3884,58076,0,0,0.00,0,0.00,1,263,2.35,3.22,2.86,0,1.60,0.00,84.80,53.00,0.00,0.00,0.00,0.00,1.80,3.00,0.14,0.65,0.00,0.00,0.00,0.00
2018-01-05 19:09:54,0.00,0.00,0.05,0.00,0.00,0.00,0.00,0.00,0.00,99.95,0.00,255.60,165.20,0.00,0.00,0.00,52.00,8.20,0.00,30.60,0.00,0.00,0.00,0.00,7.40,0.00,7.40,0.00,104.00,24372624,0,7027296,22.38,31264,6105008,1396552,4.45,1037160,5589000,60,489888,205492,2192,3884,58076,0,0,0.00,0,0.00,1,260,2.16,3.17,2.85,0,7.40,0.00,104.00,14.05,0.00,0.00,0.00,0.00,2.00,3.40,0.16,0.76,0.00,0.00,0.00,0.00
2018-01-05 19:09:59,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,99.95,0.00,251.40,152.60,0.00,0.00,0.00,6.40,9.20,0.00,18.40,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,12.80,24372592,0,7027328,22.38,31272,6105028,1396552,4.45,1037176,5589008,100,489888,205492,2192,3884,58076,0,0,0.00,0,0.00,1,260,1.99,3.11,2.83,0,0.40,0.00,12.80,32.00,0.00,2.00,2.00,0.08,2.00,3.40,0.15,0.76,0.00,0.00,0.00,0.00
2018-01-05 19:10:04,0.05,0.00,0.05,0.00,0.05,0.00,0.00,0.00,0.00,99.85,0.00,243.00,146.00,0.00,0.00,0.00,4.80,7.80,0.00,837.60,0.00,0.00,0.00,0.00,0.80,0.00,0.80,0.00,9.60,24372616,0,7027304,22.38,31280,6105052,1396552,4.45,1037188,5589036,120,489892,205484,2192,3884,58076,0,0,0.00,0,0.00,1,260,1.83,3.06,2.82,0,0.80,0.00,9.60,12.00,0.00,0.00,0.00,0.00,1.80,3.00,0.13,0.65,0.00,0.00,0.00,0.00
