timestamp,cpu.%usr,cpu.%nice,cpu.%sys,cpu.%iowait,cpu.%steal,cpu.%irq,cpu.%soft,cpu.%guest,cpu.%gnice,cpu.%idle,task.proc/s,task.cswch/s,intr.intr/s,swap.pswpin/s,swap.pswpout/s,paging.pgpgin/s,paging.pgpgout/s,paging.fault/s,paging.majflt/s,paging.pgfree/s,paging.pgscank/s,paging.pgscand/s,paging.pgsteal/s,paging.%vmeff,io.tps,io.rtps,io.wtps,io.bread/s,io.bwrtn/s,memory.kbmemfree,memory.kbavail,memory.kbmemused,memory.%memused,memory.kbbuffers,memory.kbcached,memory.kbcommit,memory.%commit,memory.kbactive,memory.kbinact,memory.kbdirty,memory.kbanonpg,memory.kbslab,memory.kbkstack,memory.kbpgtbl,memory.kbvmused,swap.kbswpfree,swap.kbswpused,swap.%swpused,swap.kbswpcad,swap.%swpcad,load.runq-sz,load.plist-sz,load.ldavg-1,load.ldavg-5,load.ldavg-15,load.blocked,disk.tps,disk.rd_sec/s,disk.wr_sec/s,disk.avgrq-sz,disk.avgqu-sz,disk.await,disk.svctm,disk.%util,network.rxpck/s,network.txpck/s,network.rxkB/s,network.txkB/s,network.rxcmp/s,network.txcmp/s,network.rxmcst/s,network.%ifutil
2018-01-07 15:20:43,0.05,0.00,0.00,27.43,0.05,0.00,0.00,0.00,0.00,72.47,0.00,264.60,357.40,0.00,0.00,2.40,25544.80,9.00,0.00,19.20,0.00,0.00,0.00,0.00,201.80,0.60,201.20,4.80,51393.60,12180836,0,4252304,25.88,25564,3470164,1151056,7.00,851852,3161916,1710120,518068,125672,2192,3344,31404,0,0,0.00,0,0.00,1,260,3.25,1.47,0.59,1,201.60,4.80,51342.40,254.70,130.79,642.12,4.96,100.00,1.20,2.40,0.12,0.42,0.00,0.00,0.00,0.00
2018-01-07 15:20:48,0.90,0.00,0.45,27.32,0.05,0.00,0.00,0.00,0.00,71.27,14.80,521.40,669.60,0.00,0.00,2.40,29535.20,7752.00,0.00,2518.80,0.00,0.00,0.00,0.00,236.80,0.40,236.40,3.20,60452.80,12175248,0,4257892,25.91,25584,3470492,1165960,7.10,856140,3162244,1562428,522304,125692,2216,3852,31404,0,0,0.00,0,0.00,1,263,3.07,1.46,0.59,1,236.80,3.20,60452.80,255.30,139.15,626.85,4.22,100.00,15.80,14.20,60.44,2.10,0.00,0.00,0.00,0.00
2018-01-07 15:20:53,0.05,0.00,0.10,16.89,0.00,0.00,0.00,0.00,0.00,82.96,1.00,310.20,346.80,0.00,0.00,1.60,10333.60,27.60,0.00,111.80,0.00,0.00,0.00,0.00,107.40,0.60,106.80,4.80,26964.80,12174972,0,4258168,25.91,25600,3470600,1165960,7.10,856308,3162328,1511224,522432,125584,2232,3852,31404,0,0,0.00,0,0.00,1,264,2.90,1.45,0.60,0,107.40,4.80,26964.80,251.11,64.70,656.80,5.06,54.32,17.20,25.20,11.02,128.50,0.00,0.00,0.00,0.01
2018-01-07 15:20:58,0.05,0.00,0.10,17.23,0.05,0.00,0.00,0.00,0.00,82.57,0.00,269.80,321.80,0.00,0.00,0.80,22718.40,10.60,0.00,44.00,0.00,0.00,0.00,0.00,147.80,0.20,147.60,1.60,37705.60,12175104,0,4258036,25.91,25612,3470632,1165960,7.10,856332,3162348,1397784,522432,125588,2224,3852,31404,0,0,0.00,0,0.00,1,260,2.67,1.43,0.59,1,147.80,1.60,37705.60,255.12,83.53,463.98,4.24,62.64,2.20,3.40,0.19,0.67,0.00,0.00,0.00,0.00
2018-01-07 15:21:03,73.58,0.00,3.26,10.20,0.05,0.00,0.05,0.00,0.00,12.86,31.40,2032.40,1720.20,0.00,0.00,0.80,22997.60,23358.00,0.00,12319.20,0.00,0.00,0.00,0.00,180.00,0.20,179.80,1.60,45993.60,11678712,0,4754428,28.93,25664,3471368,2250404,13.69,1344060,3162880,1283900,1011908,127172,2880,6264,31404,0,0,0.00,0,0.00,9,349,2.54,1.42,0.59,2,180.00,1.60,45993.60,255.53,135.52,723.84,5.56,100.08,22.20,23.80,24.58,2.96,0.00,0.00,0.00,0.00
2018-01-07 15:21:08,61.26,0.00,2.21,29.65,0.00,0.00,0.00,0.00,0.00,6.87,11.40,2086.80,1442.20,0.00,0.00,10.40,27852.80,8219.80,0.00,4732.40,0.00,0.00,0.00,0.00,222.60,1.80,220.80,20.80,56424.00,11160384,0,5272756,32.09,25684,3471920,2300056,14.00,1863544,3163044,1145564,1529088,128420,3192,7508,31404,0,0,0.00,0,0.00,12,386,3.05,1.55,0.64,1,222.80,20.80,56475.20,253.57,128.03,612.22,4.49,100.00,15.00,20.80,5.79,12.13,0.00,0.00,0.00,0.00
2018-01-07 15:21:13,98.10,0.00,1.65,0.05,0.00,0.00,0.20,0.00,0.00,0.00,0.00,4080.20,1887.60,0.00,0.00,1.60,25467.20,1559.60,0.00,2431.20,0.00,0.00,0.00,0.00,195.20,0.40,194.80,3.20,49808.00,11148628,0,5284512,32.16,25716,3467376,2300056,14.00,1876816,3158540,1018008,1542588,128788,3144,7548,31404,0,0,0.00,0,0.00,8,379,3.85,1.74,0.70,1,195.00,3.20,49756.80,255.18,132.56,662.58,5.13,100.00,4.60,7.20,0.41,1.73,0.00,0.00,0.00,0.00
2018-01-07 15:21:18,87.37,0.00,0.55,6.82,0.00,0.00,0.05,0.00,0.00,5.21,0.00,1240.00,1563.00,0.00,0.00,1.60,21342.40,153.20,0.00,532.40,0.00,0.00,0.00,0.00,167.80,0.40,167.40,3.20,42787.20,11155620,0,5277520,32.12,25728,3462348,2300056,14.00,1875440,3153708,911708,1541280,128732,3144,7560,31404,0,0,0.00,0,0.00,5,375,4.18,1.84,0.74,1,167.80,3.20,42787.20,255.01,133.89,789.01,5.96,100.00,4.80,7.80,0.40,2.18,0.00,0.00,0.00,0.00
2018-01-07 15:21:23,98.35,0.00,1.45,0.05,0.00,0.00,0.15,0.00,0.00,0.00,0.00,2136.20,1839.00,0.00,0.00,0.80,23366.40,65.40,0.00,390.80,0.00,0.00,0.00,0.00,198.60,0.20,198.40,1.60,47961.60,11160692,0,5272448,32.08,25740,3457288,2300056,14.00,1875304,3148888,795012,1541276,128880,3112,7560,31404,0,0,0.00,0,0.00,5,375,4.65,1.98,0.79,1,198.80,1.60,48012.80,241.52,129.23,679.02,5.03,100.00,5.00,6.40,0.44,1.60,0.00,0.00,0.00,0.00
2018-01-07 15:21:28,98.25,0.00,1.55,0.00,0.00,0.00,0.20,0.00,0.00,0.00,0.00,2415.60,1603.60,0.00,0.00,0.80,20436.80,33.00,0.00,376.60,0.00,0.00,0.00,0.00,160.80,0.20,160.60,1.60,41052.80,11166076,0,5267064,32.05,25776,3452432,2300056,14.00,1875500,3144108,693164,1541520,128500,3112,7560,31404,0,0,0.00,0,0.00,4,375,5.00,2.10,0.84,1,160.60,1.60,41001.60,255.31,132.19,818.80,6.23,100.00,4.20,6.80,0.38,2.04,0.00,0.00,0.00,0.00
