timestamp,cpu.%usr,cpu.%nice,cpu.%sys,cpu.%iowait,cpu.%steal,cpu.%irq,cpu.%soft,cpu.%guest,cpu.%gnice,cpu.%idle,task.proc/s,task.cswch/s,intr.intr/s,swap.pswpin/s,swap.pswpout/s,paging.pgpgin/s,paging.pgpgout/s,paging.fault/s,paging.majflt/s,paging.pgfree/s,paging.pgscank/s,paging.pgscand/s,paging.pgsteal/s,paging.%vmeff,io.tps,io.rtps,io.wtps,io.bread/s,io.bwrtn/s,memory.kbmemfree,memory.kbavail,memory.kbmemused,memory.%memused,memory.kbbuffers,memory.kbcached,memory.kbcommit,memory.%commit,memory.kbactive,memory.kbinact,memory.kbdirty,memory.kbanonpg,memory.kbslab,memory.kbkstack,memory.kbpgtbl,memory.kbvmused,swap.kbswpfree,swap.kbswpused,swap.%swpused,swap.kbswpcad,swap.%swpcad,load.runq-sz,load.plist-sz,load.ldavg-1,load.ldavg-5,load.ldavg-15,load.blocked,disk.tps,disk.rd_sec/s,disk.wr_sec/s,disk.avgrq-sz,disk.avgqu-sz,disk.await,disk.svctm,disk.%util,network.rxpck/s,network.txpck/s,network.rxkB/s,network.txkB/s,network.rxcmp/s,network.txcmp/s,network.rxmcst/s,network.%ifutil
2018-01-06 14:13:08,0.15,0.00,0.15,0.00,0.05,0.00,0.00,0.00,0.00,99.65,0.20,277.40,211.00,0.00,0.00,0.00,3796.00,628.20,0.00,6448.80,0.00,0.00,0.00,0.00,31.20,0.00,31.20,0.00,7592.00,30130916,0,1269004,4.04,32744,495440,1386768,4.42,672076,350176,147468,493908,51176,2240,3312,58076,0,0,0.00,0,0.00,0,266,2.74,2.30,2.21,0,31.20,0.00,7592.00,243.33,0.90,28.74,0.36,1.12,3.20,4.60,0.30,0.68,0.00,0.00,0.00,0.00
2018-01-06 14:13:13,1.81,0.00,0.70,0.00,0.05,0.00,0.00,0.00,0.00,97.44,28.80,573.60,543.80,0.00,0.00,0.00,3744.80,15481.40,0.00,4941.60,0.00,0.00,0.00,0.00,31.00,0.00,31.00,0.00,7489.60,30122268,0,1277652,4.07,32744,495404,1407496,4.48,680440,350152,128764,502488,51316,2288,4316,58076,0,0,0.00,0,0.00,1,272,2.52,2.27,2.20,0,31.00,0.00,7489.60,241.60,0.85,27.51,0.36,1.12,13.00,15.00,2.85,2.71,0.00,0.00,0.00,0.00
2018-01-06 14:13:18,0.00,0.00,0.05,0.50,0.00,0.00,0.00,0.00,0.00,99.45,0.60,288.40,295.40,0.00,0.00,0.00,10996.00,21.60,0.00,55.00,0.00,0.00,0.00,0.00,87.20,0.00,87.20,0.00,21992.00,30122104,0,1277816,4.07,32752,495688,1407496,4.48,680580,350408,74212,502560,51320,2296,4316,58076,0,0,0.00,0,0.00,1,273,2.32,2.23,2.19,0,87.20,0.00,21992.00,252.20,3.85,44.15,0.38,3.28,14.60,14.20,51.71,52.59,0.00,0.00,0.00,0.00
2018-01-06 14:13:23,0.10,0.00,0.00,0.00,0.05,0.00,0.00,0.00,0.00,99.85,0.40,264.20,215.60,0.00,0.00,0.00,3809.60,21.80,0.00,46.60,0.00,0.00,0.00,0.00,31.80,0.00,31.80,0.00,7619.20,30122304,0,1277616,4.07,32760,495712,1407496,4.48,680644,350436,55288,502604,51160,2288,4316,58076,0,0,0.00,0,0.00,0,273,2.13,2.19,2.18,0,31.80,0.00,7619.20,239.60,0.88,27.60,0.40,1.28,10.60,16.60,0.98,103.78,0.00,0.00,0.00,0.00
2018-01-06 14:13:28,95.10,0.00,2.55,0.30,0.05,0.00,0.00,0.00,0.00,2.00,31.00,2520.40,1895.60,0.00,0.00,0.00,10991.20,20877.80,0.00,6752.60,0.00,0.00,0.00,0.00,87.00,0.00,87.00,0.00,21982.40,29585172,0,1814748,5.78,32768,496460,2541448,8.09,1214100,350960,1276,1035968,52624,3032,6952,58076,0,0,0.00,0,0.00,8,367,2.52,2.27,2.20,0,87.00,0.00,21982.40,252.67,3.85,44.22,0.38,3.28,25.80,26.80,24.63,3.57,0.00,0.00,0.00,0.00
2018-01-06 14:13:33,97.75,0.00,1.85,0.00,0.00,0.00,0.10,0.00,0.00,0.30,8.60,3759.00,1645.40,0.00,0.00,0.00,133.60,2392.20,0.00,1122.00,0.00,0.00,0.00,0.00,12.40,0.00,12.40,0.00,267.20,29134192,0,2265728,7.22,32780,496880,2572348,8.19,1660916,351420,1448,1482760,53368,3264,7908,58076,0,0,0.00,0,0.00,5,394,3.12,2.40,2.25,0,12.40,0.00,267.20,21.55,0.03,2.13,0.39,0.48,20.00,27.00,15.02,3.71,0.00,0.00,0.00,0.00
2018-01-06 14:13:38,78.91,0.00,2.26,0.00,0.00,0.00,0.05,0.00,0.00,18.78,26.40,1816.40,1721.00,0.00,0.00,0.00,75.20,10079.60,0.00,50914.00,0.00,0.00,0.00,0.00,2.00,0.00,2.00,0.00,150.40,29862364,0,1537556,4.90,32788,560896,2436864,7.76,935640,350852,65204,694652,52356,2608,5924,58076,0,0,0.00,0,0.00,7,340,3.27,2.44,2.26,0,2.00,0.00,150.40,75.20,0.00,0.00,0.00,0.00,24.20,26.00,4.17,4.70,0.00,0.00,0.00,0.00
2018-01-06 14:13:43,97.10,0.00,2.75,0.00,0.00,0.00,0.00,0.00,0.00,0.15,9.60,2188.00,1562.40,0.00,0.00,0.00,56.80,17296.80,0.00,10753.20,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,113.60,29495744,0,1904176,6.06,32800,561512,2561376,8.16,1302228,351492,66152,1059312,52996,3048,7044,58076,0,0,0.00,0,0.00,6,372,3.57,2.52,2.29,0,1.00,0.00,113.60,113.60,0.01,11.20,5.60,0.56,13.80,18.40,3.81,2.70,0.00,0.00,0.00,0.00
2018-01-06 14:13:48,98.40,0.00,1.45,0.00,0.00,0.00,0.10,0.00,0.00,0.05,4.80,3524.20,1542.40,0.00,0.00,0.00,111.20,844.40,0.00,1282.00,0.00,0.00,0.00,0.00,1.80,0.00,1.80,0.00,222.40,29076904,0,2323016,7.40,32812,561548,2561376,8.16,1716968,351900,65788,1474504,53160,3216,7936,58076,0,0,0.00,0,0.00,5,388,3.84,2.59,2.31,0,1.80,0.00,222.40,123.56,0.00,0.00,0.00,0.00,18.40,28.00,6.33,84.13,0.00,0.00,0.00,0.00
2018-01-06 14:13:53,78.42,0.00,3.21,0.05,0.10,0.00,0.10,0.00,0.00,18.11,26.40,2015.40,1676.20,0.00,0.00,0.00,732.80,13917.80,0.00,52714.80,0.00,0.00,0.00,0.00,8.20,0.00,8.20,0.00,1465.60,29690416,0,1709504,5.44,32824,625664,2436380,7.76,1101968,354748,126744,800152,53816,2832,6196,58076,0,0,0.00,0,0.00,12,340,3.62,2.57,2.30,0,8.20,0.00,1465.60,178.73,0.01,1.76,1.07,0.88,70.40,81.00,7.50,641.16,0.00,0.00,0.00,0.00
