timestamp,cpu.%usr,cpu.%nice,cpu.%sys,cpu.%iowait,cpu.%steal,cpu.%irq,cpu.%soft,cpu.%guest,cpu.%gnice,cpu.%idle,task.proc/s,task.cswch/s,intr.intr/s,swap.pswpin/s,swap.pswpout/s,paging.pgpgin/s,paging.pgpgout/s,paging.fault/s,paging.majflt/s,paging.pgfree/s,paging.pgscank/s,paging.pgscand/s,paging.pgsteal/s,paging.%vmeff,io.tps,io.rtps,io.wtps,io.bread/s,io.bwrtn/s,memory.kbmemfree,memory.kbavail,memory.kbmemused,memory.%memused,memory.kbbuffers,memory.kbcached,memory.kbcommit,memory.%commit,memory.kbactive,memory.kbinact,memory.kbdirty,memory.kbanonpg,memory.kbslab,memory.kbkstack,memory.kbpgtbl,memory.kbvmused,swap.kbswpfree,swap.kbswpused,swap.%swpused,swap.kbswpcad,swap.%swpcad,load.runq-sz,load.plist-sz,load.ldavg-1,load.ldavg-5,load.ldavg-15,load.blocked,disk.tps,disk.rd_sec/s,disk.wr_sec/s,disk.avgrq-sz,disk.avgqu-sz,disk.await,disk.svctm,disk.%util,network.rxpck/s,network.txpck/s,network.rxkB/s,network.txkB/s,network.rxcmp/s,network.txcmp/s,network.rxmcst/s,network.%ifutil
2018-01-05 18:39:10,0.05,0.00,0.10,29.26,0.05,0.00,0.00,0.00,0.00,70.54,0.00,262.60,359.40,0.00,0.00,0.80,26288.80,8.60,0.00,15.60,0.00,0.00,0.00,0.00,204.20,0.20,204.00,1.60,52168.00,27099980,0,4299940,13.69,25512,3470228,1393136,4.44,820300,3162220,2044444,486812,125736,2144,3256,58076,0,0,0.00,0,0.00,0,254,3.14,1.55,0.64,1,204.20,1.60,52168.00,255.48,133.38,642.18,4.90,100.00,1.40,2.80,0.12,0.53,0.00,0.00,0.00,0.00
2018-01-05 18:39:15,0.05,0.00,0.05,28.32,0.05,0.00,0.00,0.00,0.00,71.53,0.00,260.40,345.00,0.00,0.00,0.80,24644.00,13.00,0.00,21.40,0.00,0.00,0.00,0.00,193.20,0.20,193.00,1.60,49339.20,27100136,0,4299784,13.69,25544,3470252,1393136,4.44,820360,3162236,1921304,486816,125736,2144,3256,58076,0,0,0.00,0,0.00,0,254,2.97,1.54,0.64,1,193.20,1.60,49339.20,255.39,130.47,688.59,5.18,100.00,1.40,2.60,0.11,0.43,0.00,0.00,0.00,0.00
2018-01-05 18:39:20,0.95,0.00,0.40,25.44,0.05,0.00,0.00,0.00,0.00,73.16,14.40,471.00,567.20,0.00,0.00,2.40,22220.80,7738.40,0.00,2468.00,0.00,0.00,0.00,0.00,185.60,0.60,185.00,4.80,47360.00,27094972,0,4304948,13.71,25560,3470300,1393136,4.44,824348,3162288,1810400,491056,125608,1944,3736,58076,0,0,0.00,0,0.00,1,257,2.81,1.53,0.64,2,185.60,4.80,47360.00,255.20,137.77,747.40,5.39,100.00,7.80,9.40,1.52,1.69,0.00,0.00,0.00,0.00
2018-01-05 18:39:25,0.00,0.00,0.05,26.63,0.10,0.00,0.00,0.00,0.00,73.22,0.00,269.20,337.00,0.00,0.00,0.80,24346.40,9.00,0.00,22.20,0.00,0.00,0.00,0.00,178.60,0.20,178.40,1.60,45467.20,27094956,0,4304964,13.71,25580,3470340,1393136,4.44,824660,3162300,1688612,491096,125816,2168,3764,58076,0,0,0.00,0,0.00,0,257,2.67,1.52,0.64,1,178.60,1.60,45467.20,254.58,133.81,591.52,5.60,100.00,2.40,3.80,0.17,0.77,0.00,0.00,0.00,0.00
2018-01-05 18:39:30,0.05,0.00,0.10,30.31,0.05,0.00,0.00,0.00,0.00,69.49,0.20,295.20,407.60,0.00,0.00,3.20,27072.80,12.00,0.00,92.40,0.00,0.00,0.00,0.00,210.00,0.80,209.20,6.40,53480.00,27094912,0,4305008,13.71,25604,3470692,1393136,4.44,824468,3162608,1553740,490820,125764,2144,3764,58076,0,0,0.00,0,0.00,1,251,2.54,1.51,0.64,1,210.00,6.40,53480.00,254.70,132.44,738.59,4.76,100.00,13.40,13.40,59.11,59.75,0.00,0.00,0.00,0.00
2018-01-05 18:39:35,0.10,0.00,0.00,31.19,0.05,0.00,0.00,0.00,0.00,68.66,0.00,288.40,385.60,0.00,0.00,0.80,25234.40,10.40,0.00,35.20,0.00,0.00,0.00,0.00,209.60,0.20,209.40,1.60,52392.00,27094836,0,4305084,13.71,25624,3470724,1393136,4.44,824156,3162620,1427616,490460,125736,2096,3764,58076,0,0,0.00,0,0.00,1,248,2.41,1.50,0.65,1,209.60,1.60,52392.00,249.97,132.34,630.94,4.77,100.00,2.60,4.00,0.18,0.78,0.00,0.00,0.00,0.00
2018-01-05 18:39:40,0.05,0.00,0.10,43.31,0.05,0.00,0.00,0.00,0.00,56.49,0.00,268.80,341.00,0.00,0.00,0.80,23188.00,7.40,0.00,18.20,0.00,0.00,0.00,0.00,185.20,0.20,185.00,1.60,45374.40,27094916,0,4305004,13.71,25644,3470756,1393136,4.44,824180,3162648,1312056,490460,125688,2096,3764,58076,0,0,0.00,0,0.00,0,248,2.38,1.51,0.65,1,185.20,1.60,45374.40,245.01,145.23,819.34,5.40,100.00,2.20,3.60,0.17,0.76,0.00,0.00,0.00,0.00
2018-01-05 18:39:45,30.20,0.00,1.61,19.50,0.05,0.00,0.00,0.00,0.00,48.64,28.80,1281.00,1205.00,0.00,0.00,1.60,32142.40,12574.60,0.00,2754.80,0.00,0.00,0.00,0.00,249.00,0.40,248.60,3.20,63568.00,26830592,0,4569328,14.55,25708,3471452,2437364,7.76,1083920,3163308,1152184,750068,127304,2776,5596,58076,0,0,0.00,0,0.00,12,333,2.27,1.50,0.66,1,249.00,3.20,63568.00,255.31,133.37,539.84,4.02,100.00,16.80,15.80,23.68,2.03,0.00,0.00,0.00,0.00
2018-01-05 18:39:50,82.68,0.00,2.30,11.81,0.00,0.00,0.00,0.00,0.00,3.20,7.40,2062.60,1567.20,0.00,0.00,0.80,23696.80,12287.80,0.00,7680.20,0.00,0.00,0.00,0.00,189.00,0.20,188.80,1.60,48256.00,26552456,0,4847464,15.44,25736,3471964,2530200,8.06,1361404,3163688,1034676,1027424,127648,2960,6456,58076,0,0,0.00,0,0.00,5,361,3.05,1.68,0.72,1,189.00,1.60,48256.00,255.33,135.20,550.85,5.29,100.00,11.00,14.80,1.21,2.18,0.00,0.00,0.00,0.00
2018-01-05 18:39:55,86.67,0.00,1.60,10.32,0.00,0.00,0.15,0.00,0.00,1.25,8.40,3685.00,1867.00,0.00,0.00,9.60,27987.20,2505.60,0.00,2779.60,0.00,0.00,0.00,0.00,216.80,1.60,215.20,19.20,54958.40,26115100,0,5284820,16.83,25756,3468968,2530200,8.06,1798168,3159808,895084,1463248,128992,3128,7364,58076,0,0,0.00,0,0.00,4,377,3.28,1.75,0.75,1,216.80,19.20,54958.40,253.59,135.47,703.68,4.61,100.00,20.40,27.80,38.84,3.34,0.00,0.00,0.00,0.00
