timestamp,cpu.%usr,cpu.%nice,cpu.%sys,cpu.%iowait,cpu.%steal,cpu.%irq,cpu.%soft,cpu.%guest,cpu.%gnice,cpu.%idle,task.proc/s,task.cswch/s,intr.intr/s,swap.pswpin/s,swap.pswpout/s,paging.pgpgin/s,paging.pgpgout/s,paging.fault/s,paging.majflt/s,paging.pgfree/s,paging.pgscank/s,paging.pgscand/s,paging.pgsteal/s,paging.%vmeff,io.tps,io.rtps,io.wtps,io.bread/s,io.bwrtn/s,memory.kbmemfree,memory.kbavail,memory.kbmemused,memory.%memused,memory.kbbuffers,memory.kbcached,memory.kbcommit,memory.%commit,memory.kbactive,memory.kbinact,memory.kbdirty,memory.kbanonpg,memory.kbslab,memory.kbkstack,memory.kbpgtbl,memory.kbvmused,swap.kbswpfree,swap.kbswpused,swap.%swpused,swap.kbswpcad,swap.%swpcad,load.runq-sz,load.plist-sz,load.ldavg-1,load.ldavg-5,load.ldavg-15,load.blocked,disk.tps,disk.rd_sec/s,disk.wr_sec/s,disk.avgrq-sz,disk.avgqu-sz,disk.await,disk.svctm,disk.%util,network.rxpck/s,network.txpck/s,network.rxkB/s,network.txkB/s,network.rxcmp/s,network.txcmp/s,network.rxmcst/s,network.%ifutil
2018-01-05 02:33:38,0.10,0.00,0.18,0.00,0.00,0.00,0.00,0.00,0.00,99.72,0.20,343.40,228.40,0.00,0.00,0.00,54.40,681.00,0.00,29376.80,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,108.80,19852540,0,13095664,39.75,37444,11895956,1573580,4.78,1523824,10977936,76,568368,378816,2496,3620,57980,0,0,0.00,0,0.00,0,297,0.03,2.83,6.03,0,1.00,0.00,108.80,108.80,0.02,15.20,5.60,0.56,5.00,5.60,0.49,0.78,0.00,0.00,0.00,0.00
2018-01-05 02:33:43,0.50,0.00,0.13,0.00,0.03,0.00,0.00,0.00,0.00,99.35,14.40,512.20,408.60,0.00,0.00,0.00,0.00,7752.80,0.00,2506.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19848564,0,13099640,39.76,37444,11895992,1580492,4.80,1528348,10977952,356,572812,378692,2448,4212,57980,0,0,0.00,0,0.00,0,300,0.03,2.78,6.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.20,9.60,1.66,1.75,0.00,0.00,0.00,0.00
2018-01-05 02:33:48,0.03,0.00,0.03,0.03,0.00,0.00,0.00,0.00,0.00,99.92,0.00,283.40,171.00,0.00,0.00,0.00,19.20,9.40,0.00,31.60,0.00,0.00,0.00,0.00,0.60,0.00,0.60,0.00,38.40,19849316,0,13098888,39.76,37456,11896016,1580492,4.80,1528120,10977952,408,572640,378656,2512,4124,57980,0,0,0.00,0,0.00,0,300,0.03,2.73,5.97,0,0.60,0.00,38.40,64.00,0.00,2.67,1.33,0.08,3.60,5.00,0.38,0.99,0.00,0.00,0.00,0.00
2018-01-05 02:33:53,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,279.60,164.20,0.00,0.00,0.00,2.40,7.60,0.00,24.60,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,4.80,19849316,0,13098888,39.76,37464,11896040,1580492,4.80,1528132,10977964,432,572640,378656,2512,4124,57980,0,0,0.00,0,0.00,0,300,0.03,2.69,5.94,0,0.40,0.00,4.80,12.00,0.00,2.00,2.00,0.08,2.40,3.60,0.20,0.73,0.00,0.00,0.00,0.00
2018-01-05 02:33:58,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,99.97,0.00,282.00,177.00,0.00,0.00,0.00,64.80,10.60,0.00,27.40,0.00,0.00,0.00,0.00,8.60,0.00,8.60,0.00,129.60,19849192,0,13099012,39.76,37472,11896064,1580492,4.80,1528148,10978008,160,572640,378656,2512,4124,57980,0,0,0.00,0,0.00,0,300,0.02,2.64,5.90,0,8.60,0.00,129.60,15.07,0.00,0.09,0.09,0.08,2.60,4.00,0.22,0.84,0.00,0.00,0.00,0.00
2018-01-05 02:34:03,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,99.97,0.00,284.20,168.20,0.00,0.00,0.00,4.00,7.60,0.00,25.60,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,8.00,19849192,0,13099012,39.76,37480,11896088,1580492,4.80,1528160,10978020,196,572640,378656,2512,4124,57980,0,0,0.00,0,0.00,0,300,0.02,2.60,5.87,0,0.40,0.00,8.00,20.00,0.00,2.00,2.00,0.08,2.60,4.00,0.22,0.84,0.00,0.00,0.00,0.00
2018-01-05 02:34:08,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,99.97,0.00,279.00,166.40,0.00,0.00,0.00,39.20,9.40,0.00,27.40,0.00,0.00,0.00,0.00,1.40,0.00,1.40,0.00,78.40,19849192,0,13099012,39.76,37488,11896112,1580492,4.80,1528172,10978032,36,572640,378656,2512,4124,57980,0,0,0.00,0,0.00,0,300,0.02,2.56,5.84,0,1.40,0.00,78.40,56.00,0.03,18.86,18.86,2.64,2.60,3.80,0.21,0.74,0.00,0.00,0.00,0.00
2018-01-05 02:34:13,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,99.97,0.00,281.40,168.00,0.00,0.00,0.00,4.80,7.60,0.00,25.40,0.00,0.00,0.00,0.00,0.60,0.00,0.60,0.00,9.60,19849068,0,13099136,39.76,37496,11896136,1580492,4.80,1528184,10978048,68,572640,378656,2512,4124,57980,0,0,0.00,0,0.00,0,300,0.02,2.51,5.81,0,0.60,0.00,9.60,16.00,0.00,0.00,0.00,0.00,2.60,4.00,0.22,0.84,0.00,0.00,0.00,0.00
2018-01-05 02:34:18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,284.40,172.40,0.00,0.00,0.00,2.40,9.40,0.00,127.40,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,4.80,19848756,0,13099448,39.76,37504,11896160,1580492,4.80,1526164,10978056,92,572668,378656,2512,4124,57980,0,0,0.00,0,0.00,0,300,0.02,2.47,5.78,0,0.40,0.00,4.80,12.00,0.00,0.00,0.00,0.00,2.40,3.80,0.21,0.82,0.00,0.00,0.00,0.00
2018-01-05 02:34:23,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,99.97,0.00,279.80,163.80,0.00,0.00,0.00,2.40,7.60,0.00,24.80,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,4.80,19848632,0,13099572,39.76,37512,11896184,1580492,4.80,1526176,10978068,116,572668,378656,2512,4124,57980,0,0,0.00,0,0.00,0,300,0.02,2.43,5.75,0,0.40,0.00,4.80,12.00,0.00,0.00,0.00,0.00,2.40,3.60,0.20,0.73,0.00,0.00,0.00,0.00
