timestamp,cpu.%usr,cpu.%nice,cpu.%sys,cpu.%iowait,cpu.%steal,cpu.%irq,cpu.%soft,cpu.%guest,cpu.%gnice,cpu.%idle,task.proc/s,task.cswch/s,intr.intr/s,swap.pswpin/s,swap.pswpout/s,paging.pgpgin/s,paging.pgpgout/s,paging.fault/s,paging.majflt/s,paging.pgfree/s,paging.pgscank/s,paging.pgscand/s,paging.pgsteal/s,paging.%vmeff,io.tps,io.rtps,io.wtps,io.bread/s,io.bwrtn/s,memory.kbmemfree,memory.kbavail,memory.kbmemused,memory.%memused,memory.kbbuffers,memory.kbcached,memory.kbcommit,memory.%commit,memory.kbactive,memory.kbinact,memory.kbdirty,memory.kbanonpg,memory.kbslab,memory.kbkstack,memory.kbpgtbl,memory.kbvmused,swap.kbswpfree,swap.kbswpused,swap.%swpused,swap.kbswpcad,swap.%swpcad,load.runq-sz,load.plist-sz,load.ldavg-1,load.ldavg-5,load.ldavg-15,load.blocked,disk.tps,disk.rd_sec/s,disk.wr_sec/s,disk.avgrq-sz,disk.avgqu-sz,disk.await,disk.svctm,disk.%util,network.rxpck/s,network.txpck/s,network.rxkB/s,network.txkB/s,network.rxcmp/s,network.txcmp/s,network.rxmcst/s,network.%ifutil
2018-01-05 08:16:04,0.10,0.00,0.08,0.00,0.00,0.00,0.00,0.00,0.00,99.82,0.20,325.40,213.40,0.00,0.00,0.00,47.20,694.60,0.00,6445.40,0.00,0.00,0.00,0.00,1.60,0.00,1.60,0.00,94.40,61058700,0,1823064,2.90,44428,630396,2408460,3.83,933952,433792,230044,692936,75616,2616,3792,111304,0,0,0.00,0,0.00,0,313,6.53,3.71,2.58,0,1.60,0.00,94.40,59.00,0.00,0.00,0.00,0.00,3.00,4.40,0.29,0.67,0.00,0.00,0.00,0.00
2018-01-05 08:16:09,0.50,0.00,0.18,0.15,0.03,0.00,0.00,0.00,0.00,99.15,14.40,506.20,479.20,0.00,0.00,0.00,9385.60,7753.00,0.00,2492.80,0.00,0.00,0.00,0.00,75.60,0.00,75.60,0.00,18771.20,61055072,0,1826692,2.90,44440,630416,2408428,3.83,938220,433808,184064,697220,75420,2640,4300,111304,0,0,0.00,0,0.00,0,316,6.01,3.65,2.56,0,75.60,0.00,18771.20,248.30,2.82,37.26,0.34,2.56,7.40,9.00,1.49,1.62,0.00,0.00,0.00,0.00
2018-01-05 08:16:14,0.00,0.00,0.03,0.28,0.00,0.00,0.00,0.00,0.00,99.70,0.00,289.80,245.20,0.00,0.00,0.00,9368.80,7.60,0.00,22.60,0.00,0.00,0.00,0.00,75.60,0.00,75.60,0.00,18737.60,61055172,0,1826592,2.90,44448,630444,2408428,3.83,938252,433840,136608,697220,75176,2640,4300,111304,0,0,0.00,0,0.00,0,316,5.53,3.58,2.55,0,75.60,0.00,18737.60,247.85,2.48,32.81,0.36,2.72,2.00,3.40,0.16,0.79,0.00,0.00,0.00,0.00
2018-01-05 08:16:19,0.00,0.00,0.03,0.25,0.00,0.00,0.00,0.00,0.00,99.72,0.00,286.40,229.00,0.00,0.00,0.00,11494.40,9.20,0.00,20.20,0.00,0.00,0.00,0.00,61.80,0.00,61.80,0.00,15582.40,61055016,0,1826748,2.91,44456,630468,2408428,3.83,938276,433864,79212,697224,75176,2640,4300,111304,0,0,0.00,0,0.00,0,316,5.08,3.53,2.54,1,62.20,0.00,15684.80,252.17,3.41,38.14,0.37,2.32,2.00,3.40,0.16,0.79,0.00,0.00,0.00,0.00
2018-01-05 08:16:24,0.00,0.00,0.03,0.10,0.00,0.00,0.00,0.00,0.00,99.87,0.00,274.60,218.00,0.00,0.00,0.00,3495.20,7.20,0.00,16.40,0.00,0.00,0.00,0.00,57.00,0.00,57.00,0.00,14396.80,61055048,0,1826716,2.91,44456,630500,2408428,3.83,938276,433880,61756,697220,75176,2640,4300,111304,0,0,0.00,0,0.00,0,316,4.68,3.47,2.52,0,56.60,0.00,14294.40,252.55,1.76,49.36,0.30,1.68,2.00,3.20,0.15,0.70,0.00,0.00,0.00,0.00
2018-01-05 08:16:29,0.03,0.00,0.05,0.23,0.03,0.00,0.00,0.00,0.00,99.67,0.00,297.00,275.60,0.00,0.00,0.00,12278.40,10.00,0.00,23.80,0.00,0.00,0.00,0.00,97.00,0.00,97.00,0.00,24556.80,61055140,0,1826624,2.90,44464,630524,2408428,3.83,938300,433912,472,697224,75204,2640,4300,111304,0,0,0.00,0,0.00,0,316,4.30,3.41,2.51,0,97.00,0.00,24556.80,253.16,4.07,41.95,0.33,3.20,2.20,3.60,0.16,0.80,0.00,0.00,0.00,0.00
2018-01-05 08:16:34,0.08,0.00,0.03,0.03,0.00,0.00,0.00,0.00,0.00,99.87,2.00,330.00,232.80,0.00,0.00,0.00,116.00,252.80,0.00,89.60,0.00,0.00,0.00,0.00,9.00,0.00,9.00,0.00,232.00,61054860,0,1826904,2.91,44476,630568,2408428,3.83,938372,433936,48,697300,75508,2696,4300,111304,0,0,0.00,0,0.00,0,320,3.96,3.35,2.50,0,9.00,0.00,232.00,25.78,0.00,0.00,0.00,0.00,5.00,6.20,0.88,1.10,0.00,0.00,0.00,0.00
2018-01-05 08:16:39,20.76,0.00,2.78,0.00,0.23,0.00,0.76,0.00,0.00,75.48,37.00,4832.80,7620.20,0.00,0.00,0.00,20.00,20427.00,0.00,29723.60,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,40.00,60376256,0,2505508,3.98,44484,827448,9944452,15.81,1512592,530008,196992,1172888,80364,3056,6164,111304,0,0,0.00,0,0.00,13,449,3.64,3.30,2.48,0,0.40,0.00,40.00,100.00,0.00,0.00,0.00,0.00,4544.80,1904.20,39790.56,125.11,0.00,0.00,0.00,0.00
2018-01-05 08:16:44,87.73,0.00,4.53,0.00,0.05,0.00,0.15,0.00,0.00,7.54,53.60,3532.60,4016.60,0.00,0.00,0.00,89.60,48994.80,0.00,29251.20,0.00,0.00,0.00,0.00,1.20,0.00,1.20,0.00,179.20,58243424,0,4638340,7.38,44496,837956,14020312,22.30,3624908,531752,208136,3280756,84240,5016,12920,111304,0,0,0.00,0,0.00,10,612,4.07,3.39,2.52,0,1.20,0.00,179.20,149.33,0.00,2.67,0.67,0.08,326.60,209.60,2359.45,35.64,0.00,0.00,0.00,0.00
2018-01-05 08:16:49,21.06,0.00,1.94,0.00,0.25,0.00,0.25,0.00,0.00,76.50,16.60,4559.80,6188.40,0.00,0.00,0.00,46.40,14946.20,0.00,26541.20,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,92.80,57582412,0,5299352,8.43,44504,940052,14230916,22.63,4238248,578524,310332,3834640,84400,5072,14432,111304,0,0,0.00,0,0.00,1,619,3.74,3.34,2.50,0,1.00,0.00,92.80,92.80,0.00,0.00,0.00,0.00,2348.60,1639.40,20453.17,120.39,0.00,0.00,0.00,0.00
