timestamp,cpu.%usr,cpu.%nice,cpu.%sys,cpu.%iowait,cpu.%steal,cpu.%irq,cpu.%soft,cpu.%guest,cpu.%gnice,cpu.%idle,task.proc/s,task.cswch/s,intr.intr/s,swap.pswpin/s,swap.pswpout/s,paging.pgpgin/s,paging.pgpgout/s,paging.fault/s,paging.majflt/s,paging.pgfree/s,paging.pgscank/s,paging.pgscand/s,paging.pgsteal/s,paging.%vmeff,io.tps,io.rtps,io.wtps,io.bread/s,io.bwrtn/s,memory.kbmemfree,memory.kbavail,memory.kbmemused,memory.%memused,memory.kbbuffers,memory.kbcached,memory.kbcommit,memory.%commit,memory.kbactive,memory.kbinact,memory.kbdirty,memory.kbanonpg,memory.kbslab,memory.kbkstack,memory.kbpgtbl,memory.kbvmused,swap.kbswpfree,swap.kbswpused,swap.%swpused,swap.kbswpcad,swap.%swpcad,load.runq-sz,load.plist-sz,load.ldavg-1,load.ldavg-5,load.ldavg-15,load.blocked,disk.tps,disk.rd_sec/s,disk.wr_sec/s,disk.avgrq-sz,disk.avgqu-sz,disk.await,disk.svctm,disk.%util,network.rxpck/s,network.txpck/s,network.rxkB/s,network.txkB/s,network.rxcmp/s,network.txcmp/s,network.rxmcst/s,network.%ifutil
2018-01-07 00:05:12,0.10,0.00,0.10,0.30,0.00,0.00,0.00,0.00,0.00,99.50,0.20,226.80,138.40,0.00,0.00,0.00,49.60,15.80,0.00,35.20,0.00,0.00,0.00,0.00,0.60,0.00,0.60,0.00,99.20,13316176,0,2342824,14.96,25428,1575552,1115840,7.13,780128,1392912,632052,572076,69136,1936,3344,31532,0,0,0.00,0,0.00,1,228,2.33,0.97,0.43,0,0.60,0.00,99.20,165.33,0.01,9.33,9.33,0.56,1.20,2.40,0.11,0.43,0.00,0.00,0.00,0.00
2018-01-07 00:05:17,0.20,0.00,0.10,0.00,0.10,0.00,0.00,0.00,0.00,99.60,0.00,221.00,142.60,0.00,0.00,0.00,97.60,11.20,0.00,15.60,0.00,0.00,0.00,0.00,13.60,0.00,13.60,0.00,195.20,13316052,0,2342948,14.96,25440,1575572,1115840,7.13,780148,1392924,631608,572080,69136,1936,3344,31532,0,0,0.00,0,0.00,1,228,2.14,0.96,0.43,0,13.60,0.00,195.20,14.35,0.02,1.12,0.06,0.08,1.40,2.80,0.12,0.53,0.00,0.00,0.00,0.00
2018-01-07 00:05:22,0.00,0.00,0.10,19.11,0.00,0.00,0.00,0.00,0.00,80.78,0.00,230.20,232.00,0.00,0.00,1.60,16020.00,8.20,0.00,15.80,0.00,0.00,0.00,0.00,96.20,0.40,95.80,3.20,24256.00,13315996,0,2343004,14.96,25456,1575612,1115840,7.13,780200,1392936,551704,572080,69188,1936,3344,31532,0,0,0.00,0,0.00,1,228,2.05,0.96,0.43,1,96.20,3.20,24256.00,252.17,42.40,352.17,3.59,34.56,1.40,2.80,0.12,0.53,0.00,0.00,0.00,0.00
2018-01-07 00:05:27,0.10,0.00,0.50,52.36,0.20,0.00,0.00,0.00,0.00,46.84,0.00,238.80,452.80,0.00,0.00,4.00,41214.40,7.20,0.00,19.80,0.00,0.00,0.00,0.00,322.80,1.00,321.80,8.00,82209.60,13316068,0,2342932,14.96,25496,1575676,1115840,7.13,780272,1392976,345708,572080,69116,1936,3344,31532,0,0,0.00,0,0.00,1,228,1.97,0.96,0.43,1,322.80,8.00,82209.60,254.70,136.07,429.15,3.10,100.00,1.20,2.40,0.11,0.43,0.00,0.00,0.00,0.00
2018-01-07 00:05:32,0.20,0.00,0.30,53.07,0.10,0.00,0.00,0.00,0.00,46.33,0.00,241.40,478.60,0.00,0.00,1.60,43563.20,7.20,0.00,15.80,0.00,0.00,0.00,0.00,345.00,0.40,344.60,3.20,87961.60,13315944,0,2343056,14.96,25512,1575696,1115840,7.13,780300,1393004,128064,572084,69124,1936,3344,31532,0,0,0.00,0,0.00,2,228,1.89,0.96,0.44,1,345.00,3.20,87961.60,254.97,137.65,398.71,2.90,100.00,1.40,2.80,0.12,0.53,0.00,0.00,0.00,0.00
2018-01-07 00:05:37,0.20,0.00,0.30,51.71,0.10,0.00,0.00,0.00,0.00,47.69,0.00,231.20,354.60,0.00,0.00,0.80,25563.20,7.20,0.00,16.00,0.00,0.00,0.00,0.00,223.00,0.20,222.80,1.60,56705.60,13315904,0,2343096,14.96,25528,1575744,1115840,7.13,780340,1393012,268,572084,69120,1936,3344,31532,0,0,0.00,0,0.00,1,228,1.90,0.98,0.44,0,223.00,1.60,56705.60,254.29,130.11,601.46,4.48,100.00,1.80,3.00,0.14,0.54,0.00,0.00,0.00,0.00
2018-01-07 00:05:42,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,99.90,0.40,225.40,149.20,0.00,0.00,0.00,41.60,239.80,0.00,36.40,0.00,0.00,0.00,0.00,7.20,0.00,7.20,0.00,1672.00,13315160,0,2343840,14.97,25536,1575764,1115840,7.13,781060,1393024,96,572864,69112,1936,3548,31532,0,0,0.00,0,0.00,1,230,1.75,0.96,0.44,0,7.20,0.00,1672.00,232.22,0.90,422.56,8.89,6.40,3.60,4.40,0.62,0.93,0.00,0.00,0.00,0.00
2018-01-07 00:05:47,2.20,0.00,0.70,0.00,0.10,0.00,0.00,0.00,0.00,96.99,14.40,414.20,341.20,0.00,0.00,0.80,0.00,7521.60,0.00,2457.80,0.00,0.00,0.00,0.00,0.20,0.20,0.00,1.60,0.00,13311068,0,2347932,14.99,25540,1575868,1137028,7.26,784904,1393124,260,576616,69136,1960,3852,31532,0,0,0.00,0,0.00,2,231,1.61,0.94,0.44,0,0.20,1.60,0.00,8.00,0.00,0.00,0.00,0.00,10.80,12.80,12.98,13.27,0.00,0.00,0.00,0.00
2018-01-07 00:05:52,0.00,0.00,0.20,0.00,0.00,0.00,0.00,0.00,0.00,99.80,0.20,238.40,165.80,0.00,0.00,0.00,48.80,11.80,0.00,64.00,0.00,0.00,0.00,0.00,5.20,0.00,5.20,0.00,97.60,13310820,0,2348180,15.00,25548,1576188,1137028,7.26,784916,1393440,444,576616,69136,1960,3852,31532,0,0,0.00,0,0.00,1,231,1.48,0.93,0.44,0,5.20,0.00,97.60,18.77,0.00,0.00,0.00,0.00,13.60,13.00,59.09,59.75,0.00,0.00,0.00,0.00
2018-01-07 00:05:57,57.23,0.00,2.91,0.20,0.00,0.00,0.00,0.00,0.00,39.66,17.40,1099.20,819.00,0.00,0.00,4.00,10.40,9182.00,0.00,3258.00,0.00,0.00,0.00,0.00,0.60,0.20,0.40,8.00,20.80,13049436,0,2609564,16.66,25580,1576756,1685784,10.77,1043420,1393876,1108,834956,70024,2312,4996,31532,0,0,0.00,0,0.00,4,275,1.84,1.01,0.47,0,0.60,8.00,20.80,48.00,0.00,8.00,8.00,0.48,32.60,39.60,23.51,236.49,0.00,0.00,0.00,0.00
2018-01-07 00:06:02,96.21,0.00,3.49,0.00,0.00,0.00,0.00,0.00,0.00,0.30,8.20,1423.20,934.20,0.00,0.00,8.80,34.40,5392.20,0.00,2532.40,0.00,0.00,0.00,0.00,2.20,1.40,0.80,17.60,68.80,12751232,0,2907768,18.57,25596,1576084,1716832,10.96,1341284,1392760,1512,1132496,70312,2520,5756,31532,0,0,0.00,0,0.00,6,301,2.25,1.11,0.50,0,2.20,17.60,68.80,39.27,0.00,1.09,0.73,0.16,32.80,37.20,4.52,100.64,0.00,0.00,0.00,0.00
2018-01-07 00:06:07,98.70,0.00,1.20,0.00,0.00,0.00,0.10,0.00,0.00,0.00,0.00,2185.60,854.20,0.00,0.00,0.80,6.40,48.40,0.00,697.20,0.00,0.00,0.00,0.00,0.60,0.20,0.40,1.60,12.80,12753620,0,2905380,18.55,25604,1570996,1716832,10.96,1342528,1387940,1540,1133972,70276,2416,5772,31532,0,0,0.00,0,0.00,4,288,2.55,1.19,0.53,0,0.60,1.60,12.80,24.00,0.00,0.00,0.00,0.00,7.20,8.00,0.45,1.43,0.00,0.00,0.00,0.00
2018-01-07 00:06:12,99.30,0.00,0.60,0.00,0.00,0.00,0.10,0.00,0.00,0.00,0.00,1098.00,693.40,0.00,0.00,0.80,6.40,58.20,0.00,303.20,0.00,0.00,0.00,0.00,0.60,0.20,0.40,1.60,12.80,12758480,0,2900520,18.52,25612,1566036,1716832,10.96,1343184,1383072,1604,1134616,70204,2400,5780,31532,0,0,0.00,0,0.00,6,286,2.51,1.21,0.54,0,0.60,1.60,12.80,24.00,0.00,0.00,0.00,0.00,3.00,5.00,0.22,1.08,0.00,0.00,0.00,0.00
2018-01-07 00:06:17,99.60,0.00,0.30,0.00,0.00,0.00,0.10,0.00,0.00,0.00,0.00,1063.40,737.80,0.00,0.00,0.00,55.20,19.40,0.00,293.00,0.00,0.00,0.00,0.00,2.00,0.00,2.00,0.00,110.40,12763588,0,2895412,18.49,25620,1560880,1716832,10.96,1342904,1378252,1464,1134792,70156,2400,5780,31532,0,0,0.00,0,0.00,3,286,2.47,1.22,0.55,0,2.00,0.00,110.40,55.20,0.00,0.00,0.00,0.00,2.80,5.00,0.23,1.42,0.00,0.00,0.00,0.00
2018-01-07 00:06:22,98.80,0.00,1.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1397.60,1120.80,0.00,0.00,0.00,79.20,17.60,0.00,307.80,0.00,0.00,0.00,0.00,1.60,0.00,1.60,0.00,158.40,12768428,0,2890572,18.46,25628,1555808,1716832,10.96,1342776,1373460,1088,1134884,70220,2400,5780,31532,0,0,0.00,0,0.00,3,286,2.43,1.23,0.56,0,1.60,0.00,158.40,99.00,0.01,5.00,5.00,0.80,3.00,5.20,0.24,1.43,0.00,0.00,0.00,0.00
2018-01-07 00:06:27,99.50,0.00,0.40,0.00,0.00,0.00,0.10,0.00,0.00,0.00,0.00,1014.80,907.40,0.00,0.00,0.00,162.40,26.60,0.00,314.40,0.00,0.00,0.00,0.00,12.40,0.00,12.40,0.00,324.80,12773556,0,2885444,18.43,25640,1550744,1716832,10.96,1342616,1368616,532,1134920,70144,2384,5780,31532,0,0,0.00,0,0.00,5,284,2.40,1.24,0.56,0,12.40,0.00,324.80,26.19,0.05,3.74,0.71,0.88,2.80,4.80,0.22,1.32,0.00,0.00,0.00,0.00
2018-01-07 00:06:32,86.77,0.00,3.41,0.00,0.10,0.00,0.00,0.00,0.00,9.72,16.00,1999.80,885.00,0.00,0.00,0.00,52.00,9048.80,0.00,29226.00,0.00,0.00,0.00,0.00,1.20,0.00,1.20,0.00,104.00,13078608,0,2580392,16.48,25676,1545432,1702936,10.88,1044456,1363536,596,836956,69840,2248,5064,31532,0,0,0.00,0,0.00,3,269,2.52,1.29,0.58,0,1.20,0.00,104.00,86.67,0.01,6.00,3.33,0.40,16.40,18.20,2.47,2.93,0.00,0.00,0.00,0.00
2018-01-07 00:06:37,96.90,0.00,2.80,0.00,0.00,0.00,0.10,0.00,0.00,0.20,7.60,1561.60,892.60,0.00,0.00,45.60,14.40,3149.00,0.00,1651.80,0.00,0.00,0.00,0.00,3.20,2.60,0.60,91.20,28.80,12818080,0,2840920,18.14,25688,1540756,1702936,10.88,1308420,1358988,768,1101040,69976,2488,5724,31532,0,0,0.00,0,0.00,6,297,2.72,1.35,0.61,0,3.20,91.20,28.80,37.50,0.00,0.75,0.75,0.24,28.00,32.00,4.44,74.15,0.00,0.00,0.00,0.00
2018-01-07 00:06:42,98.10,0.00,1.60,0.00,0.00,0.00,0.20,0.00,0.00,0.10,0.80,1836.20,1096.80,0.00,0.00,4.80,1.60,123.20,0.00,700.00,0.00,0.00,0.00,0.00,1.40,1.00,0.40,9.60,3.20,12819320,0,2839680,18.13,25688,1535724,1702936,10.88,1311620,1354256,788,1104448,69936,2456,5736,31532,0,0,0.00,0,0.00,2,293,2.74,1.38,0.62,0,1.40,9.60,3.20,9.14,0.00,0.57,0.57,0.08,19.20,19.80,1.49,2.85,0.00,0.00,0.00,0.00
2018-01-07 00:06:47,98.80,0.00,1.10,0.00,0.00,0.00,0.10,0.00,0.00,0.00,0.00,1319.60,870.00,0.00,0.00,0.00,8.80,329.20,0.00,584.40,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,17.60,12823588,0,2835412,18.11,25696,1530668,1702936,10.88,1311988,1349428,852,1104992,69936,2440,5748,31532,0,0,0.00,0,0.00,5,291,2.85,1.42,0.64,0,0.40,0.00,17.60,44.00,0.00,2.00,2.00,0.08,3.20,5.40,0.23,1.19,0.00,0.00,0.00,0.00
2018-01-07 00:06:52,98.90,0.00,0.90,0.00,0.00,0.00,0.20,0.00,0.00,0.00,0.00,1131.00,858.60,0.00,0.00,0.00,48.80,20.60,0.00,303.80,0.00,0.00,0.00,0.00,1.20,0.00,1.20,0.00,97.60,12828788,0,2830212,18.07,25704,1525616,1702936,10.88,1311916,1344620,724,1105156,69840,2440,5748,31532,0,0,0.00,0,0.00,2,291,2.78,1.43,0.64,0,1.20,0.00,97.60,81.33,0.00,0.67,0.67,0.08,3.20,5.40,0.25,1.44,0.00,0.00,0.00,0.00
2018-01-07 00:06:57,98.80,0.00,1.00,0.00,0.00,0.00,0.20,0.00,0.00,0.00,0.00,1158.80,859.80,0.00,0.00,0.00,8.00,17.20,0.00,304.60,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,16.00,12833856,0,2825144,18.04,25712,1520560,1702936,10.88,1311820,1339728,820,1105232,69756,2440,5748,31532,0,0,0.00,0,0.00,3,291,2.72,1.44,0.65,0,0.40,0.00,16.00,40.00,0.00,0.00,0.00,0.00,6.00,8.00,0.53,1.69,0.00,0.00,0.00,0.00
2018-01-07 00:07:02,99.40,0.00,0.50,0.00,0.00,0.00,0.10,0.00,0.00,0.00,1.60,1253.00,838.40,0.00,0.00,0.00,76.00,532.60,0.00,368.80,0.00,0.00,0.00,0.00,10.20,0.00,10.20,0.00,152.00,12837396,0,2821604,18.02,25720,1516492,1702936,10.88,1313852,1334988,576,1106544,69472,2464,6012,31532,0,0,0.00,0,0.00,4,294,2.66,1.45,0.66,0,10.20,0.00,152.00,14.90,0.02,1.49,0.86,0.88,7.60,9.40,1.06,2.44,0.00,0.00,0.00,0.00
2018-01-07 00:07:07,88.74,0.00,3.72,0.00,0.00,0.00,0.00,0.00,0.00,7.54,16.20,2183.80,1125.00,0.00,0.00,2.40,26.40,10290.80,0.00,28541.40,0.00,0.00,0.00,0.00,1.60,0.60,1.00,4.80,52.80,13094324,0,2564676,16.38,25744,1511144,1719232,10.98,1062808,1329952,508,855956,69324,2328,5172,31532,0,0,0.00,0,0.00,7,279,2.61,1.46,0.67,0,1.60,4.80,52.80,36.00,0.01,9.00,9.00,1.44,56.60,59.20,6.43,20.29,0.00,0.00,0.00,0.00
2018-01-07 00:07:12,97.70,0.00,1.90,0.00,0.00,0.00,0.20,0.00,0.00,0.20,6.00,1687.60,1009.60,0.00,0.00,0.00,28.80,2343.40,0.00,1310.00,0.00,0.00,0.00,0.00,0.80,0.00,0.80,0.00,57.60,12832100,0,2826900,18.05,25756,1506284,1719232,10.98,1328016,1325416,832,1121264,69468,2472,5740,31532,0,0,0.00,0,0.00,6,295,2.72,1.50,0.68,0,0.80,0.00,57.60,72.00,0.01,9.00,5.00,0.40,28.80,31.00,4.49,25.90,0.00,0.00,0.00,0.00
2018-01-07 00:07:17,98.20,0.00,1.50,0.00,0.00,0.00,0.30,0.00,0.00,0.00,0.00,1443.60,1091.40,0.00,0.00,0.00,12.00,33.40,0.00,487.40,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,24.00,12840336,0,2818664,18.00,25764,1501188,1719232,10.98,1324364,1320568,876,1117996,69408,2456,5744,31532,0,0,0.00,0,0.00,3,293,2.66,1.51,0.69,0,0.40,0.00,24.00,60.00,0.00,0.00,0.00,0.00,3.80,5.40,0.27,1.23,0.00,0.00,0.00,0.00
