timestamp,cpu.%usr,cpu.%nice,cpu.%sys,cpu.%iowait,cpu.%steal,cpu.%irq,cpu.%soft,cpu.%guest,cpu.%gnice,cpu.%idle,task.proc/s,task.cswch/s,intr.intr/s,swap.pswpin/s,swap.pswpout/s,paging.pgpgin/s,paging.pgpgout/s,paging.fault/s,paging.majflt/s,paging.pgfree/s,paging.pgscank/s,paging.pgscand/s,paging.pgsteal/s,paging.%vmeff,io.tps,io.rtps,io.wtps,io.bread/s,io.bwrtn/s,memory.kbmemfree,memory.kbavail,memory.kbmemused,memory.%memused,memory.kbbuffers,memory.kbcached,memory.kbcommit,memory.%commit,memory.kbactive,memory.kbinact,memory.kbdirty,memory.kbanonpg,memory.kbslab,memory.kbkstack,memory.kbpgtbl,memory.kbvmused,swap.kbswpfree,swap.kbswpused,swap.%swpused,swap.kbswpcad,swap.%swpcad,load.runq-sz,load.plist-sz,load.ldavg-1,load.ldavg-5,load.ldavg-15,load.blocked,disk.tps,disk.rd_sec/s,disk.wr_sec/s,disk.avgrq-sz,disk.avgqu-sz,disk.await,disk.svctm,disk.%util,network.rxpck/s,network.txpck/s,network.rxkB/s,network.txkB/s,network.rxcmp/s,network.txcmp/s,network.rxmcst/s,network.%ifutil
2018-01-05 23:51:06,0.08,0.00,0.08,0.18,0.03,0.00,0.00,0.00,0.00,99.65,0.20,322.40,292.20,0.00,0.00,0.00,10438.40,641.20,0.00,3863.80,0.00,0.00,0.00,0.00,82.80,0.00,82.80,0.00,20876.80,60795900,0,2085864,3.32,39108,863648,2486472,3.95,955892,675508,489244,728660,74756,2608,3924,111304,0,0,0.00,0,0.00,0,312,5.20,5.60,6.12,0,82.80,0.00,20876.80,252.14,3.13,37.76,0.32,2.64,3.20,4.40,0.27,0.58,0.00,0.00,0.00,0.00
2018-01-05 23:51:11,0.90,0.00,0.40,0.45,0.08,0.00,0.00,0.00,0.00,98.17,28.80,665.20,717.20,0.00,0.00,0.00,17908.00,15501.60,0.00,4983.00,0.00,0.00,0.00,0.00,141.60,0.00,141.60,0.00,35816.00,60786200,0,2095564,3.33,39120,863680,2464916,3.92,964828,675544,399744,737260,74420,2392,4588,111304,0,0,0.00,0,0.00,0,318,4.79,5.51,6.09,0,141.60,0.00,35816.00,252.94,6.93,48.93,0.38,5.36,13.40,15.60,2.88,2.91,0.00,0.00,0.00,0.00
2018-01-05 23:51:16,0.00,0.00,0.05,0.73,0.03,0.00,0.00,0.00,0.00,99.20,0.60,344.40,438.80,0.00,0.00,0.00,25016.80,21.40,0.00,76.80,0.00,0.00,0.00,0.00,204.80,0.00,204.80,0.00,50033.60,60786132,0,2095632,3.33,39132,863728,2464916,3.92,964672,675572,274620,737436,74672,2664,4928,111304,0,0,0.00,0,0.00,0,318,4.40,5.42,6.05,0,204.80,0.00,50033.60,244.30,9.60,46.89,0.37,7.60,16.60,16.00,54.23,55.26,0.00,0.00,0.00,0.00
2018-01-05 23:51:21,16.00,0.00,1.33,0.53,0.03,0.00,0.00,0.00,0.00,82.12,55.00,1711.00,1695.00,0.00,0.00,0.00,18720.80,19977.20,0.00,3041.20,0.00,0.00,0.00,0.00,147.20,0.00,147.20,0.00,37441.60,60408688,0,2473076,3.93,39184,864768,4773932,7.59,1333932,676748,182708,1110524,77172,3864,8512,111304,0,0,0.00,0,0.00,10,504,4.05,5.33,6.02,0,147.20,0.00,37441.60,254.36,6.31,42.86,0.37,5.44,22.20,19.80,25.69,2.76,0.00,0.00,0.00,0.00
2018-01-05 23:51:26,94.37,0.00,2.88,0.15,0.03,0.00,0.00,0.00,0.00,2.58,15.60,4887.00,2989.80,0.00,0.00,0.00,36301.60,30866.40,0.00,18211.40,0.00,0.00,0.00,0.00,285.00,0.00,285.00,0.00,72603.20,59689332,0,3192432,5.08,39196,865836,4804664,7.64,2050084,677476,2996,1822760,79000,4464,10548,111304,0,0,0.00,0,0.00,15,546,5.57,5.62,6.11,0,285.00,0.00,72603.20,254.75,13.48,47.28,0.35,10.08,21.20,24.20,2.38,3.81,0.00,0.00,0.00,0.00
2018-01-05 23:51:31,96.60,0.00,2.58,0.00,0.00,0.00,0.13,0.00,0.00,0.70,16.20,11558.00,3586.20,0.00,0.00,0.00,52.80,4499.40,0.00,3816.80,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,105.60,58793376,0,4088388,6.50,39212,865908,4929004,7.84,2939300,677568,3100,2711744,80360,4856,12464,111304,0,0,0.00,0,0.00,8,593,6.16,5.74,6.15,0,1.00,0.00,105.60,105.60,0.00,0.00,0.00,0.00,22.60,30.60,6.77,4.37,0.00,0.00,0.00,0.00
2018-01-05 23:51:36,99.22,0.00,0.75,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.00,2357.40,2414.60,0.00,0.00,0.00,55.20,116.60,0.00,223.60,0.00,0.00,0.00,0.00,1.20,0.00,1.20,0.00,110.40,58781960,0,4099804,6.52,39220,883400,4929004,7.84,2954464,677588,20376,2710688,79968,4784,12464,111304,0,0,0.00,0,0.00,10,580,6.47,5.81,6.17,0,1.20,0.00,110.40,92.00,0.00,2.00,0.67,0.08,7.60,13.60,0.63,4.76,0.00,0.00,0.00,0.00
2018-01-05 23:51:41,77.89,0.00,3.22,0.00,0.05,0.00,0.00,0.00,0.00,18.84,61.80,3744.00,3480.80,0.00,0.00,0.00,154.40,31311.00,0.00,108985.40,0.00,0.00,0.00,0.00,2.80,0.00,2.80,0.00,308.80,59863612,0,3018152,4.80,39268,1080268,4814976,7.66,1873900,676772,217440,1433264,82452,4056,9264,111304,0,0,0.00,0,0.00,16,493,6.59,5.85,6.18,0,2.80,0.00,308.80,110.29,0.01,2.29,2.29,0.64,53.60,57.20,8.90,8.38,0.00,0.00,0.00,0.00
2018-01-05 23:51:46,96.70,0.00,2.90,0.00,0.00,0.00,0.10,0.00,0.00,0.30,28.80,5947.00,3429.40,0.00,0.00,0.00,2304.80,23128.40,0.00,15508.60,0.00,0.00,0.00,0.00,25.40,0.00,25.40,0.00,4609.60,58796656,0,4085108,6.50,39280,1080616,4970492,7.90,2924872,688180,207280,2493236,83032,4832,11608,111304,0,0,0.00,0,0.00,10,595,8.07,6.17,6.28,0,25.40,0.00,4609.60,181.48,0.04,1.51,0.41,1.04,582.40,245.20,4296.55,1366.24,0.00,0.00,0.00,0.00
2018-01-05 23:51:51,83.59,0.00,0.88,0.00,0.08,0.00,0.13,0.00,0.00,15.33,0.00,8537.20,3813.60,0.00,0.00,0.00,181.60,158.20,0.00,2254.00,0.00,0.00,0.00,0.00,13.80,0.00,13.80,0.00,363.20,58785716,0,4096048,6.51,39284,1080652,4970492,7.90,2934336,688184,206456,2502788,83004,4872,12092,111304,0,0,0.00,0,0.00,7,595,9.10,6.41,6.36,0,13.80,0.00,363.20,26.32,0.03,2.49,0.12,0.16,8.20,14.80,0.89,3.87,0.00,0.00,0.00,0.00
