timestamp,cpu.%usr,cpu.%nice,cpu.%sys,cpu.%iowait,cpu.%steal,cpu.%irq,cpu.%soft,cpu.%guest,cpu.%gnice,cpu.%idle,task.proc/s,task.cswch/s,intr.intr/s,swap.pswpin/s,swap.pswpout/s,paging.pgpgin/s,paging.pgpgout/s,paging.fault/s,paging.majflt/s,paging.pgfree/s,paging.pgscank/s,paging.pgscand/s,paging.pgsteal/s,paging.%vmeff,io.tps,io.rtps,io.wtps,io.bread/s,io.bwrtn/s,memory.kbmemfree,memory.kbavail,memory.kbmemused,memory.%memused,memory.kbbuffers,memory.kbcached,memory.kbcommit,memory.%commit,memory.kbactive,memory.kbinact,memory.kbdirty,memory.kbanonpg,memory.kbslab,memory.kbkstack,memory.kbpgtbl,memory.kbvmused,swap.kbswpfree,swap.kbswpused,swap.%swpused,swap.kbswpcad,swap.%swpcad,load.runq-sz,load.plist-sz,load.ldavg-1,load.ldavg-5,load.ldavg-15,load.blocked,disk.tps,disk.rd_sec/s,disk.wr_sec/s,disk.avgrq-sz,disk.avgqu-sz,disk.await,disk.svctm,disk.%util,network.rxpck/s,network.txpck/s,network.rxkB/s,network.txkB/s,network.rxcmp/s,network.txcmp/s,network.rxmcst/s,network.%ifutil
2018-01-05 07:07:22,0.13,0.00,0.28,9.13,0.05,0.00,0.00,0.00,0.00,90.42,0.20,411.20,1097.40,0.00,0.00,0.00,108918.40,666.20,0.00,28203.20,0.00,0.00,0.00,0.00,850.60,0.00,850.60,0.00,217723.20,6263796,0,9137156,59.33,34408,8097224,1178212,7.65,1293964,7449644,854560,611984,273900,2624,3720,31276,0,0,0.00,0,0.00,0,313,11.87,8.43,6.62,2,850.60,0.00,217723.20,255.96,97.27,114.18,0.84,71.12,5.40,6.20,0.53,0.89,0.00,0.00,0.00,0.00
2018-01-05 07:07:27,0.15,0.00,0.33,12.82,0.08,0.00,0.00,0.00,0.00,86.63,13.40,538.20,1362.00,0.00,0.00,0.00,128284.80,5544.80,0.00,4057.40,0.00,0.00,0.00,0.00,983.20,0.00,983.20,0.00,248747.20,6312936,0,9088016,59.01,34424,8045328,1179992,7.66,1297964,7398160,213544,616408,273548,2648,4208,31276,0,0,0.00,0,0.00,0,317,11.00,8.31,6.59,1,983.40,0.00,248798.40,253.00,140.73,142.11,1.02,100.00,7.80,9.20,1.65,1.72,0.00,0.00,0.00,0.00
2018-01-05 07:07:32,0.00,0.00,0.05,4.26,0.03,0.00,0.00,0.00,0.00,95.67,0.00,311.40,539.80,0.00,0.00,0.00,42666.40,7.60,0.00,207.00,0.00,0.00,0.00,0.00,365.00,0.00,365.00,0.00,93268.80,6312436,0,9088516,59.01,34424,8045364,1179992,7.66,1296364,7398172,244,616824,273548,2648,4208,31276,0,0,0.00,0,0.00,1,317,10.12,8.17,6.56,0,364.80,0.00,93217.60,255.53,52.46,146.33,1.08,39.44,2.60,3.80,0.21,0.73,0.00,0.00,0.00,0.00
2018-01-05 07:07:37,0.08,0.00,0.03,0.00,0.00,0.00,0.00,0.00,0.00,99.90,0.00,289.62,173.85,0.00,0.00,0.00,19.96,10.18,0.00,35.33,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,39.92,6312612,0,9088340,59.01,34432,8045388,1179992,7.66,1296376,7398184,336,616832,273372,2648,4208,31276,0,0,0.00,0,0.00,1,317,9.31,8.03,6.52,0,0.40,0.00,39.92,100.00,0.00,0.00,0.00,0.00,2.40,3.79,0.21,0.81,0.00,0.00,0.00,0.00
2018-01-05 07:07:42,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,99.97,0.00,288.00,170.00,0.00,0.00,0.00,3.20,8.20,0.00,25.20,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,6.40,6312612,0,9088340,59.01,34440,8045412,1179992,7.66,1296400,7398212,360,616844,273372,2648,4208,31276,0,0,0.00,0,0.00,0,317,8.56,7.90,6.49,0,0.40,0.00,6.40,16.00,0.00,0.00,0.00,0.00,2.40,3.80,0.21,0.82,0.00,0.00,0.00,0.00
2018-01-05 07:07:47,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,281.60,161.60,0.00,0.00,0.00,2.40,9.40,0.00,27.00,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,4.80,6312628,0,9088324,59.01,34448,8045436,1179992,7.66,1298460,7398224,384,616844,273356,2648,4208,31276,0,0,0.00,0,0.00,0,317,7.88,7.77,6.45,0,0.40,0.00,4.80,12.00,0.00,0.00,0.00,0.00,1.80,2.80,0.16,0.63,0.00,0.00,0.00,0.00
2018-01-05 07:07:52,0.03,0.00,0.03,0.03,0.00,0.00,0.00,0.00,0.00,99.92,0.00,290.20,172.20,0.00,0.00,0.00,38.40,7.60,0.00,842.80,0.00,0.00,0.00,0.00,1.20,0.00,1.20,0.00,76.80,6311744,0,9089208,59.02,34456,8045460,1179992,7.66,1296424,7398240,228,616844,273356,2648,4208,31276,0,0,0.00,0,0.00,0,317,7.25,7.64,6.42,0,1.20,0.00,76.80,64.00,0.00,0.00,0.00,0.00,2.20,3.60,0.20,0.80,0.00,0.00,0.00,0.00
2018-01-05 07:07:57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,291.60,173.40,0.00,0.00,0.00,4.00,9.40,0.00,27.40,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,8.00,6311744,0,9089208,59.02,34464,8045484,1179992,7.66,1298508,7398272,256,616844,273356,2648,4208,31276,0,0,0.00,0,0.00,0,317,6.67,7.51,6.38,0,0.40,0.00,8.00,20.00,0.00,0.00,0.00,0.00,2.60,3.80,0.22,0.81,0.00,0.00,0.00,0.00
2018-01-05 07:08:02,0.03,0.00,0.00,0.00,0.03,0.00,0.00,0.00,0.00,99.95,0.00,291.00,183.00,0.00,0.00,0.00,47.20,9.20,0.00,317.60,0.00,0.00,0.00,0.00,6.60,0.00,6.60,0.00,94.40,6311304,0,9089648,59.02,34472,8045508,1179992,7.66,1296864,7398288,80,617252,273356,2648,4208,31276,0,0,0.00,0,0.00,0,315,6.13,7.39,6.35,0,6.60,0.00,94.40,14.30,0.00,0.00,0.00,0.00,2.20,3.40,0.19,0.71,0.00,0.00,0.00,0.00
2018-01-05 07:08:07,0.00,0.00,0.00,0.23,0.00,0.00,0.00,0.00,0.00,99.77,0.00,322.20,223.00,0.00,0.00,0.00,4.00,11.80,0.00,93.20,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,8.00,6311860,0,9089092,59.02,34480,8045532,1172472,7.61,1298324,7398312,112,616636,273184,2624,4208,31276,0,0,0.00,0,0.00,0,303,5.64,7.27,6.32,0,0.40,0.00,8.00,20.00,0.02,50.00,50.00,2.00,2.40,3.80,0.21,0.81,0.00,0.00,0.00,0.00
