timestamp,cpu.%usr,cpu.%nice,cpu.%sys,cpu.%iowait,cpu.%steal,cpu.%irq,cpu.%soft,cpu.%guest,cpu.%gnice,cpu.%idle,task.proc/s,task.cswch/s,intr.intr/s,swap.pswpin/s,swap.pswpout/s,paging.pgpgin/s,paging.pgpgout/s,paging.fault/s,paging.majflt/s,paging.pgfree/s,paging.pgscank/s,paging.pgscand/s,paging.pgsteal/s,paging.%vmeff,io.tps,io.rtps,io.wtps,io.bread/s,io.bwrtn/s,memory.kbmemfree,memory.kbavail,memory.kbmemused,memory.%memused,memory.kbbuffers,memory.kbcached,memory.kbcommit,memory.%commit,memory.kbactive,memory.kbinact,memory.kbdirty,memory.kbanonpg,memory.kbslab,memory.kbkstack,memory.kbpgtbl,memory.kbvmused,swap.kbswpfree,swap.kbswpused,swap.%swpused,swap.kbswpcad,swap.%swpcad,load.runq-sz,load.plist-sz,load.ldavg-1,load.ldavg-5,load.ldavg-15,load.blocked,disk.tps,disk.rd_sec/s,disk.wr_sec/s,disk.avgrq-sz,disk.avgqu-sz,disk.await,disk.svctm,disk.%util,network.rxpck/s,network.txpck/s,network.rxkB/s,network.txkB/s,network.rxcmp/s,network.txcmp/s,network.rxmcst/s,network.%ifutil
2018-01-06 02:34:52,0.05,0.00,0.00,0.00,0.05,0.00,0.00,0.00,0.00,99.90,0.40,265.60,163.40,0.00,0.00,0.00,0.00,20.20,0.00,57.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1457096,0,6202416,80.98,25936,5365120,1057372,13.80,1033116,4923780,336,566004,177036,2152,3460,17940,0,0,0.00,0,0.00,0,256,2.73,1.72,0.71,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.60,3.00,0.18,0.54,0.00,0.00,0.00,0.00
2018-01-06 02:34:57,0.00,0.00,0.05,0.00,0.00,0.00,0.00,0.00,0.00,99.95,0.00,260.80,161.20,0.00,0.00,0.00,42.40,14.80,0.00,22.60,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,84.80,1457164,0,6202348,80.98,25948,5365052,1057372,13.80,1033268,4923796,492,566100,177036,2160,3460,17940,0,0,0.00,0,0.00,0,256,2.51,1.69,0.71,0,1.00,0.00,84.80,84.80,0.00,0.00,0.00,0.00,1.40,2.80,0.15,0.53,0.00,0.00,0.00,0.00
2018-01-06 02:35:02,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,99.95,0.40,270.80,183.60,0.00,0.00,1.60,80.00,172.00,0.00,452.80,0.00,0.00,0.00,0.00,11.80,0.40,11.40,3.20,160.00,1456088,0,6203424,80.99,25956,5365080,1057372,13.80,1032004,4923816,128,566836,176996,2136,3692,17940,0,0,0.00,0,0.00,0,254,2.31,1.66,0.70,0,11.80,3.20,160.00,13.83,0.01,0.95,0.07,0.08,1.20,2.40,0.12,0.43,0.00,0.00,0.00,0.00
2018-01-06 02:35:07,0.00,0.00,0.05,0.00,0.00,0.00,0.00,0.00,0.00,99.95,0.00,254.80,154.20,0.00,0.00,0.00,9.60,9.40,0.00,23.40,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,19.20,1456344,0,6203168,80.99,25964,5365108,1057372,13.80,1031924,4923800,192,566724,176996,2144,3460,17940,0,0,0.00,0,0.00,0,254,2.12,1.64,0.70,0,0.40,0.00,19.20,48.00,0.00,0.00,0.00,0.00,1.60,3.00,0.16,0.54,0.00,0.00,0.00,0.00
2018-01-06 02:35:12,0.80,0.00,0.45,0.00,0.00,0.00,0.00,0.00,0.00,98.75,15.00,521.20,456.20,0.00,0.00,0.80,2.40,7756.80,0.00,2729.00,0.00,0.00,0.00,0.00,0.60,0.20,0.40,1.60,4.80,1451320,0,6208192,81.05,25976,5365416,1067272,13.93,1038824,4924048,496,571548,176872,2112,3972,17940,0,0,0.00,0,0.00,0,250,1.95,1.61,0.70,0,0.60,1.60,4.80,10.67,0.00,0.00,0.00,0.00,20.20,19.00,70.59,12.29,0.00,0.00,0.00,0.01
2018-01-06 02:35:17,2.81,0.00,0.60,0.00,0.05,0.00,0.00,0.00,0.00,96.53,24.40,831.40,824.00,0.00,0.00,0.00,20.00,6208.80,0.00,1042.80,0.00,0.00,0.00,0.00,0.80,0.00,0.80,0.00,40.00,1402628,0,6256884,81.69,26020,5366140,1793488,23.42,1083620,4924656,1312,618544,177464,2112,4632,17940,0,0,0.00,0,0.00,4,320,1.80,1.58,0.69,0,0.80,0.00,40.00,50.00,0.00,0.00,0.00,0.00,16.40,16.60,23.89,2.05,0.00,0.00,0.00,0.00
2018-01-06 02:35:22,96.55,0.00,3.15,0.00,0.00,0.00,0.00,0.00,0.00,0.30,10.40,2416.00,1539.60,0.00,0.00,0.00,83.20,19920.80,0.00,9367.80,0.00,0.00,0.00,0.00,1.60,0.00,1.60,0.00,166.40,881800,0,6777712,88.49,26032,5366224,1993444,26.03,1603628,4924768,1476,1136120,179000,2936,6592,17940,0,0,0.00,0,0.00,7,357,2.45,1.72,0.74,0,1.60,0.00,166.40,104.00,0.07,41.00,26.00,4.16,10.00,13.80,1.29,2.12,0.00,0.00,0.00,0.00
2018-01-06 02:35:27,97.15,0.00,2.40,0.00,0.00,0.00,0.30,0.00,0.00,0.15,9.60,4142.00,1918.60,0.00,0.00,9.60,40.80,2450.20,0.00,1825.20,0.00,0.00,0.00,0.00,3.20,1.60,1.60,19.20,81.60,358408,0,7301104,95.32,26044,5362716,2377808,31.04,2126100,4921224,1956,1658348,180044,3176,7820,17940,0,0,0.00,0,0.00,10,381,3.46,1.94,0.82,0,3.20,19.20,81.60,31.50,0.00,0.50,0.50,0.16,13.40,19.40,5.88,2.68,0.00,0.00,0.00,0.00
2018-01-06 02:35:32,98.75,0.00,1.10,0.00,0.00,0.00,0.10,0.00,0.00,0.05,0.00,1439.80,1278.40,0.00,0.00,0.80,13.60,112.20,0.00,339.40,0.00,0.00,0.00,0.00,0.60,0.20,0.40,1.60,27.20,363412,0,7296100,95.26,26052,5357868,2377808,31.04,2126476,4916264,2008,1658992,179912,3128,7832,17940,0,0,0.00,0,0.00,6,377,3.90,2.06,0.86,0,0.60,1.60,27.20,48.00,0.00,1.33,1.33,0.08,3.80,6.60,0.36,2.02,0.00,0.00,0.00,0.00
2018-01-06 02:35:37,98.35,0.00,1.45,0.00,0.00,0.00,0.15,0.00,0.00,0.05,0.00,2389.00,1732.20,0.00,0.00,0.00,63.20,51.80,0.00,371.80,0.00,0.00,0.00,0.00,8.60,0.00,8.60,0.00,126.40,366272,0,7293240,95.22,26060,5352832,2377808,31.04,2128736,4911456,1836,1661308,179904,3096,7840,17940,0,0,0.00,0,0.00,4,373,3.91,2.09,0.88,0,8.60,0.00,126.40,14.70,0.00,0.00,0.00,0.00,4.00,7.00,0.35,1.63,0.00,0.00,0.00,0.00
